"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"44","alyasko",18,"NC",6.5,NA,3.4,NA,"accept",NA,3.5,"RU",TRUE,1,0,6.5,0,6.5,4,1
"45","alyasko",18,"SC",4,NA,3.1,3.4,"accept",NA,6,"RU",TRUE,1,1,4,0,NA,6.5,1
"46","alyasko",19,"NC",6.5,NA,0.1,NA,"accept",NA,3.5,"RU",TRUE,1,1,6.5,0,NA,8.5,1
"47","alyasko",19,"BC",8.5,8,1,NA,"accept",NA,1.5,"RU",TRUE,NA,1,NA,0,8.5,4,NA
"48","alyasko",20,"SC",4,NA,3.2,0.1,"accept",NA,6,"RU",TRUE,NA,1,NA,0,NA,8.5,NA
"49","alyasko",20,"BC",8.5,8.3,4,NA,"accept",NA,1.5,"RU",TRUE,1,1,8.5,0,8.6,5.2,1
"50","alyasko",21,"NC",5.2,NA,4,NA,"accept",NA,4.8,"RU",TRUE,NA,1,NA,0,6.2,8.6,NA
"51","alyasko",21,"BC",8.6,8.5,0.8,NA,"accept",NA,1.4,"RU",TRUE,1,1,8.5,0,6.5,6.2,0
"52","alyasko",22,"NC",6.2,NA,6.8,NA,"reject",NA,0,"RU",FALSE,1,1,5.2,0,6,6.9,0
"53","alyasko",22,"SC",6.9,NA,2,0.1,"accept",NA,3.1,"RU",TRUE,NA,0,NA,0,4,6.5,NA
"54","alyasko",22,"BC",6.5,7.1,4,NA,"reject",NA,0,"RU",FALSE,1,1,8.6,0,8.5,6,1
"55","alyasko",23,"NC",6,NA,4.5,NA,"accept",NA,4,"RU",TRUE,0,0,6.2,0,6.5,4,0
"56","alyasko",23,"SC",4,NA,4.8,5,"reject",NA,0,"RU",FALSE,1,1,6.9,0,4,8.5,1
"57","alyasko",23,"BC",8.5,8.1,0,NA,"accept",NA,1.5,"RU",TRUE,0,0,6.5,0,8.5,6.5,1
"58","alyasko",24,"NC",6.5,NA,4,NA,"accept",NA,3.5,"RU",TRUE,1,1,6,0,NA,4,0
"59","alyasko",24,"SC",4,NA,2.8,3,"accept",NA,6,"RU",TRUE,0,1,4,0,NA,8.5,0
"60","alyasko",24,"BC",8.5,8.2,0.1,NA,"accept",NA,1.5,"RU",TRUE,1,1,8.5,0,NA,NA,1
