beh,opb,clh,rpe,cob,coe,cmr,sve,ecm,ecv,sib
6.0,7.5,-4.20546503553,0.169963562705,8.7,0.0,1.3000000000000007,0.169963562705,1.15379003813,1.1300364373,8.7
6.0,7.5,-4.30954876526,3.58930638555,5.3,0.0,4.7,3.58930638555,1.15379003813,1.11069361445,5.3
6.0,7.5,-4.20465663648,2.96981333058,5.6,0.3,4.1,3.26981333058,1.15379003813,1.13018666942,5.9
5.1,7.5,-5.95218775883,-0.805491211662,2.4,7.6,4.1,6.79450878834,1.15379003813,0.805491211662,1.4
5.0,5.3,-4.21377225617,0.169963562705,8.7,0.0,5.4,0.169963562705,1.20042627409,1.1300364373,8.7
6.0,5.9,-4.27868973469,3.38221431881,8.1,-2.6,9.9,0.782214318808,1.20443200268,1.11778568119,5.5
4.0,7.5,-4.2639083933,-0.0191898382446,8.9,0.0,11.0,-0.0191898382446,1.15379003813,1.11918983824,8.9
4.0,5.3,-4.26215235818,3.27889091642,5.6,0.0,15.4,3.27889091642,1.20042627409,1.12110908358,5.6
5.9,5.9,-4.13168972584,0.653417746939,6.1,2.1,17.200000000000003,2.75341774694,1.20443200268,1.14658225306,8.2
4.0,7.5,-4.13963258894,2.45772160278,6.4,0.0,20.800000000000004,2.45772160278,1.15379003813,1.14227839722,6.4
3.1,5.6,-4.82411417994,5.48187912341,3.5,0.0,27.300000000000004,5.48187912341,1.20308135649,1.01812087659,3.5
6.0,5.9,-4.09610527063,1.54653081719,2.6,4.7,30.000000000000004,6.24653081719,1.20443200268,1.15346918281,7.3
3.0,6.4,-4.39693466339,-0.29561792433,9.2,0.0,30.800000000000004,-0.29561792433,1.20372143729,1.09561792433,9.2
4.0,5.6,-4.18679114505,0.361818470945,8.5,0.0,32.300000000000004,0.361818470945,1.20308135649,1.13818152906,8.5
6.0,5.9,-4.51537642887,4.42373408871,6.6,-2.1,37.800000000000004,2.32373408871,1.20443200268,1.07626591129,4.5
4.0,6.4,-4.10209924648,1.94967938701,6.9,0.0,40.900000000000006,1.94967938701,1.20372143729,1.15032061299,6.9
5.0,5.6,-4.10457566209,1.24639883054,7.6,0.0,43.300000000000004,1.24639883054,1.20308135649,1.15360116946,7.6
6.0,5.9,-4.21941722531,2.86708736018,7.6,-1.6,47.300000000000004,1.26708736018,1.20443200268,1.13291263982,6.0
5.1,6.4,-4.28211703457,3.38221431881,5.5,0.0,51.800000000000004,3.38221431881,1.20372143729,1.11778568119,5.5
5.0,5.6,-4.55070067178,4.52874747027,4.4,0.0,57.400000000000006,4.52874747027,1.20308135649,1.07125252973,4.4
6.8,6.0,-4.18045027183,0.45856387916,7.2,1.2,59.00000000000001,1.65856387916,1.20458982383,1.14143612084,8.4
4.0,6.4,-5.53985029285,-0.885522900747,3.0,7.0,59.00000000000001,6.11447709925,1.20372143729,0.885522900747,2.0
5.0,5.6,-5.39837271466,-0.815361201974,9.9,0.0,59.10000000000001,-0.815361201974,1.20308135649,0.915361201974,9.9
8.0,6.0,-4.88206773064,-1.0112289262,7.3,2.7,59.10000000000001,1.6887710738,1.20458982383,1.0112289262,3.4
4.6,6.4,-4.16234013094,0.45856387916,8.4,0.0,60.70000000000001,0.45856387916,1.20372143729,1.14143612084,8.4
4.0,5.6,-4.63763766954,-0.556648131119,9.5,0.0,61.20000000000001,-0.556648131119,1.20308135649,1.05664813112,9.5
7.6,6.0,-4.06486573492,0.637082303266,8.3,-0.1,63.000000000000014,0.537082303266,1.20458982383,1.16291769673,8.2
5.0,6.4,-4.46741050769,-0.384926165864,9.3,0.0,63.70000000000002,-0.384926165864,1.20372143729,1.08492616586,9.3
4.0,5.6,-4.67542566091,4.9505041951,4.0,0.0,69.70000000000002,4.9505041951,1.20308135649,1.0494958049,4.0
10.0,6.0,-4.55472710706,-0.472167549103,7.2,2.2,70.30000000000001,1.7278324509,1.20458982383,1.0721675491,9.4
5.1,6.4,-4.22328439121,-1.13018666942,6.9,3.0999999999999996,70.30000000000001,1.96981333058,1.20372143729,1.13018666942,5.9
4.0,5.6,-4.54015868507,4.42373408871,4.5,0.0,75.80000000000001,4.42373408871,1.20308135649,1.07626591129,4.5
6.1,6.0,-4.36705365759,3.6930757201,8.3,-3.1,80.60000000000001,0.593075720095,1.20458982383,1.1069242799,5.2
5.5,6.4,-4.10706780674,1.84860015849,7.0,0.0,83.60000000000001,1.84860015849,1.20372143729,1.15139984151,7.0
4.2,5.6,-5.39970977778,-0.918133573209,3.3,6.7,83.60000000000001,5.78186642679,1.20308135649,0.918133573209,2.3
8.5,6.0,-4.38716821377,-0.204697376183,8.0,1.1,84.50000000000001,0.895302623817,1.20458982383,1.10469737618,9.1
5.0,6.4,-4.54297583031,-1.07125252973,5.4,4.6,84.50000000000001,3.52874747027,1.20372143729,1.07125252973,4.4
4.1,5.6,-4.13284379581,1.54653081719,7.3,0.0,87.20000000000002,1.54653081719,1.20308135649,1.15346918281,7.3
6.0,6.0,-4.19594232564,2.55982816612,8.1,-1.8,90.90000000000002,0.759828166121,1.20458982383,1.14017183388,6.3
5.0,6.4,-4.17069183679,-1.14017183388,7.3,2.7,90.90000000000002,1.55982816612,1.20372143729,1.14017183388,6.3
4.6,5.6,-4.60682691376,4.63392740451,4.3,0.0,96.60000000000002,4.63392740451,1.20308135649,1.06607259549,4.3
8.5,6.0,-4.19077739441,-1.14227839722,8.6,1.4,96.60000000000002,0.257721602781,1.20458982383,1.14227839722,6.4
5.0,6.4,-4.82524986769,5.48187912341,3.5,0.0,103.10000000000002,5.48187912341,1.20372143729,1.01812087659,3.5
4.0,5.6,-5.02921269595,5.91082482065,3.1,0.0,110.00000000000003,5.91082482065,1.20308135649,0.989175179346,3.1
7.1,6.0,-4.51773441742,-1.08111595128,8.0,2.0,110.00000000000003,0.918884048722,1.20458982383,1.08111595128,4.6
5.0,6.4,-5.03192831374,-0.981331252288,4.0,6.0,110.00000000000003,5.01866874771,1.20372143729,0.981331252288,3.0
7.6,5.6,-4.5218946885,-0.384926165864,9.3,0.0,110.70000000000003,-0.384926165864,1.20308135649,1.08492616586,9.3
8.5,6.0,-4.34080597008,2.48627856271,7.9,-1.5,114.30000000000003,0.986278562712,1.20458982383,1.11372143729,6.4
5.0,6.4,-4.6913647377,4.55552878352,4.4,0.0,119.90000000000002,4.55552878352,1.20372143729,1.04447121648,4.4
4.0,5.6,-4.37308409107,-0.112479033311,9.0,0.0,120.90000000000002,-0.112479033311,1.20308135649,1.11247903331,9.0
7.6,6.0,-4.14902633874,1.94967938701,8.0,-1.1,124.00000000000001,0.849679387013,1.20458982383,1.15032061299,6.9
5.0,6.4,-4.11802192697,1.04754309053,7.8,0.0,126.20000000000002,1.04754309053,1.20372143729,1.15245690947,7.8
4.0,5.6,-4.2930885576,3.07268987347,5.8,0.0,130.4,3.07268987347,1.20308135649,1.12731012653,5.8
8.0,6.0,-4.47651841836,4.10966285202,8.6,-3.8,135.6,0.30966285202,1.20458982383,1.09033714798,4.8
5.0,6.4,-4.77260518652,5.26873303354,3.7,0.0,141.9,5.26873303354,1.20372143729,1.03126696646,3.7
4.0,5.8,-4.17043109645,1.84860015849,7.0,0.0,144.9,1.84860015849,1.20412737336,1.15139984151,7.0
8.5,6.0,-4.22890496632,-1.13790710808,8.6,1.4,144.9,0.26209289192,1.20458982383,1.13790710808,6.2
5.0,6.4,-4.38616309592,-0.204697376183,9.1,0.0,145.8,-0.204697376183,1.20372143729,1.10469737618,9.1
4.0,5.8,-4.26041114309,2.76451331368,6.1,0.0,149.70000000000002,2.76451331368,1.20412737336,1.13548668632,6.1
8.5,6.0,-4.19285795007,0.555778619523,8.9,-0.6,151.4,-0.0442213804769,1.20458982383,1.14422138048,8.3
5.0,6.4,-4.220147647,-1.13548668632,7.1,2.9000000000000004,151.4,1.76451331368,1.20372143729,1.13548668632,6.1
4.1,6.1,-4.2101511274,2.25399498736,6.6,0.0,154.8,2.25399498736,1.20459951916,1.14600501264,6.6
8.5,6.0,-4.22653018571,0.361818470945,8.3,0.2,156.3,0.561818470945,1.20458982383,1.13818152906,8.5
5.1,6.4,-5.28160029784,-0.937840026305,3.5,6.5,156.3,5.5621599737,1.20372143729,0.937840026305,2.5
4.1,6.1,-4.27782273965,0.265596444553,8.6,0.0,157.70000000000002,0.265596444553,1.20459951916,1.13440355545,8.6
8.5,6.0,-4.14326889515,-1.15379003813,8.5,1.5,157.70000000000002,0.346209961872,1.20458982383,1.15379003813,7.5
5.2,6.4,-4.20295985542,0.361818470945,8.5,0.0,159.20000000000002,0.361818470945,1.20372143729,1.13818152906,8.5
4.0,6.1,-4.43817619184,-0.204697376183,9.1,0.0,160.10000000000002,-0.204697376183,1.20459951916,1.10469737618,9.1
8.5,6.0,-5.52363544006,7.00316050516,8.6,-6.5,168.00000000000003,0.503160505158,1.20458982383,0.896839494842,2.1
5.0,6.4,-4.34201044064,-0.112479033311,9.0,0.0,169.00000000000003,-0.112479033311,1.20372143729,1.11247903331,9.0
4.0,6.1,-4.17368754932,1.34620996187,7.5,0.0,171.50000000000003,1.34620996187,1.20459951916,1.15379003813,7.5
7.5,6.0,-4.16665957196,0.849823897812,8.8,-0.8,173.50000000000003,0.0498238978124,1.20458982383,1.15017610219,8.0
5.0,6.4,-4.41469442766,3.90106480369,5.0,0.0,178.50000000000003,3.90106480369,1.20372143729,1.09893519631,5.0
4.0,6.1,-4.18481466659,1.74771066365,7.1,0.0,181.40000000000003,1.74771066365,1.20459951916,1.15228933635,7.1
8.5,6.0,-3.90547732134,1.90093740234,5.6,1.3,184.50000000000003,3.20093740234,1.20458982383,1.19906259766,6.9
5.0,6.4,-4.14032762571,0.9485315931,7.9,0.0,186.60000000000002,0.9485315931,1.20372143729,1.1514684069,7.9
4.0,6.1,-4.21397911448,2.15238213576,6.7,0.0,189.90000000000003,2.15238213576,1.20459951916,1.14761786424,6.7
7.1,6.9,-4.16211157806,1.04754309053,8.1,-0.3,192.10000000000002,0.747543090527,1.24658603272,1.15245690947,7.8
5.0,6.4,-5.34404877135,6.67182783935,2.4,0.0,199.70000000000002,6.67182783935,1.20372143729,0.928172160654,2.4
