opb,clh,rpe,cob,coe,cmr,sve
3.8,-6.15383510581,6.8,0.1,1.0,75.4,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8]"
4.9,-5.89258644454,-4.8,4.5,4.1,76.8,"[ 3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4
  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4  3.4 -0.7  0.4
  3.4 -0.7]"
7.9,-4.3487861133,-4.2,8.7,0.4,77.7,"[-0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8
 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8 -0.8 -4.9 -3.8
 -0.8 -4.9 -3.8]"
3.8,-4.70683586288,5.9,0.1,1.9,85.7,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8]"
4.9,-4.46523185043,-3.1,2.9,4.0,88.8,"[ 5.   0.9  2.   5.   0.9  2.   5.   0.9  2.   5.   0.9  2.   5.   0.9  2.
  5.   0.9  2.   5.   0.9  2.   5.   0.9  2.   5.   0.9  2.   5.   0.9  2.
  5.   0.9  2.   5.   0.9]"
7.9,-4.85818334075,-5.1,8.3,1.7,88.8,"[-0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4]"
3.8,-4.84363651201,-2.1,3.0,7.0,88.8,"[ 4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9
  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9  4.9  0.8  1.9
  4.9  0.8  1.9  4.9  0.8  1.9  4.9]"
4.9,-4.67994067654,-3.4,4.8,2.4,91.6,"[ 3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1
  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1.   0.1
  3.1 -1.   0.1  3.1 -1.   0.1  3.1 -1. ]"
7.9,-4.40882323195,-5.1,7.9,2.1,91.6,"[  8.88178420e-16  -4.10000000e+00  -3.00000000e+00   8.88178420e-16
  -4.10000000e+00  -3.00000000e+00   8.88178420e-16  -4.10000000e+00
  -3.00000000e+00   8.88178420e-16  -4.10000000e+00  -3.00000000e+00
   8.88178420e-16  -4.10000000e+00  -3.00000000e+00   8.88178420e-16
  -4.10000000e+00  -3.00000000e+00   8.88178420e-16  -4.10000000e+00
  -3.00000000e+00   8.88178420e-16  -4.10000000e+00  -3.00000000e+00
   8.88178420e-16  -4.10000000e+00  -3.00000000e+00   8.88178420e-16
  -4.10000000e+00  -3.00000000e+00   8.88178420e-16  -4.10000000e+00
  -3.00000000e+00   8.88178420e-16  -4.10000000e+00  -3.00000000e+00
   8.88178420e-16  -4.10000000e+00  -3.00000000e+00]"
3.8,-6.74095254113,-0.2,1.0,7.1,93.5,"[ 6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9]"
