beh,opb,clh,rpe,cob,coe,cmr,otb,sib
6.1,5.64444444444,-1.03085712539,-0.434562984822,6.07900742927,0.0,3.92099257073,1,6.07900742927
5.1,4.86111111111,-3.68074972579,-5.13888888889,5.1,4.9,0,0,2.81948361563
6.4,6.35555555556,-1.98798558309,1.11568550943,3.6,1.63987004613,4.76012995387,1,5.23987004613
4.7,5.87737020431,-0.908202015332,-4.12262979569,6.4,3.6,4.76012995387,0,6.25220015053
5.2,4.86111111111,-0.773505255191,-5.13888888889,6.4,3.6,4.76012995387,0,5.17034373515
6.2,5.7575481225,-1.01766948074,0.584922601442,5.17262552106,0.0,9.58750443281,1,5.17262552106
5.3,5.87737020431,-1.71878332762,-1.08222907339,6.95959927769,0.0,12.6279051551,1,6.95959927769
5.6,4.86111111111,-3.16210019787,-5.13888888889,5.6,4.4,12.6279051551,0,3.38863274999
7.0,5.44402960813,-0.587419270342,-0.218608749413,5.66263835754,0.0,16.9652667976,1,5.66263835754
5.1,6.45744498764,-1.80541229688,1.01581792187,5.44162706577,0.0,21.5236397318,1,5.44162706577
5.7,4.86111111111,-0.183095175428,0.0217029151904,4.83940819592,0.0,26.6842315359,1,4.83940819592
7.2,5.56120389782,-3.22573848584,-1.50347020736,7.06467410518,0.0,29.6195574307,1,7.06467410518
6.0,5.91296658152,-3.29821186868,-4.08703341848,8.2,1.8,29.6195574307,0,7.45173132633
6.2,4.84947834857,-0.781340356171,-0.313048318212,5.16252666678,0.0,34.4570307639,1,5.16252666678
7.2,6.36706392896,-1.24420597314,0.708838062786,5.65822586617,0.0,38.7988048977,1,5.65822586617
6.5,5.91296658152,-1.69031980349,-4.08703341848,7.9,2.1,38.7988048977,0,5.15724527246
4.2,5.01727224713,-1.09573041578,-0.466156277244,5.48342852437,0.0,43.3153763734,1,5.48342852437
6.5,5.98712672731,-0.088424032146,-4.01287327269,7.6,2.4,43.3153763734,0,5.91050138625
7.3,5.91296658152,-3.97090976526,-2.7285334993,8.64150008082,0.0,44.6738762926,1,8.64150008082
6.6,5.26713201173,-0.978528980663,-0.40907917834,5.67621119007,0.0,48.9976651025,1,5.67621119007
5.2,5.98712672731,-2.63337200394,-4.01287327269,6.9,3.1,48.9976651025,0,4.77213899663
4.0,7.37546053715,-1.84645666242,1.03826918982,6.33719134733,0.0,52.6604737552,1,6.33719134733
5.5,5.48639845132,-1.1804467491,-0.507413131571,5.99381158289,0.0,56.6666621723,1,5.99381158289
7.1,5.98712672731,-0.967490474545,0.40370342586,5.58342330145,0.0,61.0832388708,1,5.58342330145
6.1,6.8189482514,-1.17319218251,0.66999351931,6.14895473209,0.0,64.9342841387,1,6.14895473209
5.0,5.75837188985,-1.85569382584,1.04332191821,4.71504997164,0.0,70.2192341671,1,4.71504997164
5.5,5.77074169105,-1.31463533561,-4.22925830895,8.2,1.8,70.2192341671,0,6.34350466425
3.2,6.45983172505,-1.02234703819,-3.54016827495,6.87235049969,3.12764950031,70.2192341671,0,5.87235049969
6.3,5.19915134169,-0.503045279784,-4.80084865831,6.6,3.4,70.2192341671,0,5.3766699577
4.7,5.77074169105,-1.26372759114,-4.22925830895,8.0,2.0,70.2192341671,0,6.52032502106
5.0,6.45983172505,-1.11530299614,0.475688123877,5.98414360118,0.0,74.2350905659,1,5.98414360118
7.0,5.19915134169,-0.945767256164,-4.80084865831,9.0,1.0,74.2350905659,0,5.71630566683
7.3,5.77074169105,-1.23469779376,-0.728362548131,6.49910423918,0.0,77.7359863267,1,6.49910423918
5.6,6.20486289065,-1.30649477265,0.742910036115,5.46195285454,0.0,82.2740334722,1,5.46195285454
5.8,5.19915134169,-1.97450171167,-1.26915921212,6.4683105538,0.0,85.8057229184,1,6.4683105538
6.8,6.16114401684,-0.347686493981,-3.83885598316,9.0,1.0,85.8057229184,0,6.26300290417
7.6,5.8066631113,-0.409501857006,-4.1933368887,8.3,1.7,85.8057229184,0,5.55440820004
6.3,5.87942067938,-0.180845132584,-4.12057932062,6.90002782371,3.09997217629,85.8057229184,0,5.90002782371
8.0,6.16114401684,-0.770722866993,-3.83885598316,7.3,2.7,85.8057229184,0,6.55034089351
6.2,5.8066631113,-0.175648985418,0.0180766206555,5.78858649064,0.0,90.0171364277,1,5.78858649064
6.9,5.87942067938,-2.72731194909,-1.81946349568,7.69888417506,0.0,92.3182522527,1,7.69888417506
7.4,6.16114401684,-1.83014662756,-1.16363564564,7.32477966248,0.0,94.9934725902,1,7.32477966248
7.0,5.79697404263,-0.381725074624,-0.118435676098,5.91540971872,0.0,99.0780628715,1,5.91540971872
7.1,6.85465311307,-0.342044769694,-3.14534688693,9.0,1.0,99.0780628715,0,6.63929722857
7.8,6.78485272291,-0.0170107319622,0.0375622658591,6.74729045705,0.0,102.330772414,1,6.74729045705
7.6,5.86045556501,-1.3766621897,0.781291613241,5.07916395177,0.0,107.251608463,1,5.07916395177
4.9,6.85465311307,-1.25209181246,-3.14534688693,7.8,2.2,107.251608463,0,6.31234883564
8.5,6.7647193484,-1.14193537499,-3.2352806516,8.3,1.7,107.251608463,0,6.11182330281
7.9,5.44168326032,-0.475345599204,0.288271438241,5.15341182208,0.0,112.098196641,1,5.15341182208
5.6,6.85465311307,-0.314796183292,-0.0559144708779,6.91056758394,0.0,115.187629057,1,6.91056758394
7.7,6.7647193484,-0.441819886134,-3.2352806516,8.2,1.8,115.187629057,0,6.6170174991
8.0,5.28716976942,-2.93069247515,-4.71283023058,8.8,1.2,115.187629057,0,3.65582359004
7.6,6.88462326946,0.0248351278162,-3.11537673054,8.1,1.9,115.187629057,0,6.8699506889
8.6,6.7647193484,-0.289726894284,-3.2352806516,7.9,2.1,115.187629057,0,6.69108678613
8.1,5.28716976942,-5.73672905987,2.72632261691,2.56084715251,0.0,122.626781904,1,2.56084715251
7.6,6.88462326946,-0.437650299056,-3.11537673054,8.1,1.9,122.626781904,0,6.73895200906
8.5,6.7647193484,-0.644105863789,-0.296639847322,7.06135919573,0.0,125.565422708,1,7.06135919573
8.2,3.82586084676,-0.594710189675,0.353563869228,3.47229697753,0.0,132.093125731,1,3.47229697753
6.7,6.88462326946,-2.16365413568,-1.40742963407,8.29205290353,0.0,133.801072827,1,8.29205290353
8.4,6.92371830657,-0.750835485917,-0.298192446398,7.22191075297,0.0,136.579162074,1,7.22191075297
7.8,3.63635061285,-0.126700971461,0.0975628268648,3.53878778598,0.0,143.040374288,1,3.53878778598
8.0,7.63900555332,-0.23951142182,0.159270143211,7.47973541011,0.0,145.560638878,1,7.47973541011
8.9,7.08354945784,-0.860414705787,0.498904239541,6.5846452183,0.0,148.97599366,1,6.5846452183
7.0,3.58405693765,-0.038022987174,-6.41594306235,8.8,1.2,148.97599366,0,3.53500096819
8.5,7.55363675656,-1.20249009701,0.686019478538,6.86761727802,0.0,152.108376382,1,6.86761727802
8.7,6.81613678544,-0.978280443089,-3.18386321456,8.3,1.7,152.108376382,0,7.22509492599
7.4,3.58405693765,-0.892467618805,-0.478192290238,4.06224922789,0.0,158.046127154,1,4.06224922789
7.7,7.18593031606,-1.73300372493,-0.7765083788,7.96243869486,0.0,160.083688459,1,7.96243869486
8.9,6.81613678544,-0.347463395909,0.101750238564,6.71438654688,0.0,163.369301912,1,6.71438654688
7.9,3.84036800522,-0.453028908848,-6.15963199478,7.6,2.4,163.369301912,0,3.99352864858
8.3,7.6021388071,-0.229612458252,-2.3978611929,8.5,1.5,163.369301912,0,7.44828339696
8.8,6.76159865757,-0.273576911193,-3.23840134243,8.4,1.6,163.369301912,0,6.58369469168
7.4,3.84036800522,-0.866757117022,-0.459397913435,4.29976591865,0.0,169.069535994,1,4.29976591865
7.7,7.6021388071,-0.965590432634,-0.531645067147,4.4,3.73378387425,170.935752119,1,8.13378387425
8.3,6.76159865757,-4.3053156569,-2.97298420609,9.73458286366,0.0,171.201169256,1,9.73458286366
7.6,4.08660528682,-0.976975873147,-5.91339471318,6.6,3.4,171.201169256,0,3.52394208873
5.2,7.88710056309,-0.111454807171,0.0892231749986,7.79787738809,0.0,173.403291868,1,7.79787738809
8.0,8.35511819204,-0.730723644658,-1.64488180796,7.1,2.9,173.403291868,0,7.92715496293
7.5,4.08660528682,-2.15671870035,-1.40235983084,5.48896511766,0.0,177.91432675,1,5.48896511766
5.6,7.83927694129,-0.238751399184,0.15885441083,7.68042253046,0.0,180.23390422,1,7.68042253046
8.2,8.35511819204,-0.964710402404,0.402349530727,7.95276866131,0.0,182.281135558,1,7.95276866131
7.6,4.83827015615,-0.559880800862,0.334512193547,4.5037579626,0.0,187.777377596,1,4.5037579626
7.9,7.75413097709,-0.0403458791555,0.0503265913739,7.70380438571,0.0,190.07357321,1,7.70380438571
7.8,8.13945884357,-2.07854195545,-0.94478549706,9.08424434063,0.0,190.989328869,1,9.08424434063
7.1,4.65897162041,-0.542327876797,-5.34102837959,7.4,2.6,190.989328869,0,4.85562086117
7.2,7.72715592411,-1.35546234053,-0.592645724597,8.31980164871,0.0,192.669527221,1,8.31980164871
7.8,8.64586386999,-0.871024684137,0.504707897699,8.14115597229,0.0,194.528371248,1,8.14115597229
7.3,4.65897162041,-0.624665644212,0.236747733488,4.42222388692,0.0,200.106147361,1,4.42222388692
8.0,8.04481403249,-0.511830313549,0.308228576987,7.73658545551,0.0,202.369561906,1,7.73658545551
7.8,8.37534043682,-0.246944628884,-0.0527975990233,8.42813803585,0.0,203.94142387,1,8.42813803585
7.5,4.53207483526,-0.334836804486,0.21141312753,4.32066170773,0.0,209.620762162,1,4.32066170773
6.7,7.87960351523,-0.509927481136,0.307187727657,7.57241578757,0.0,212.048346375,1,7.57241578757
8.1,8.4036399499,-0.349999210647,-0.102985180342,8.50662513024,0.0,213.541721245,1,8.50662513024
7.4,4.4187573989,-0.612590627912,-5.5812426011,7.6,2.4,213.541721245,0,4.64962459945
7.1,7.7149508932,-0.0269297427776,0.0429879647752,7.67196292843,0.0,215.869758316,1,7.67196292843
8.6,8.45884000656,-0.310027262398,0.197842308007,7.1,1.16099769856,217.608760618,1,8.26099769856
7.9,4.4187573989,-1.3007008993,0.565976902714,3.85278049619,0.0,223.755980121,1,3.85278049619
