opb,clh,rpe,cob,coe,cmr,sve
4.69444444444,-2.0008124828,-1.30555555556,5.0,1.0,4.0,-0.305555555556
4.03888888889,-3.61978737756,-1.96111111111,2.4,3.6,4.0,1.63888888889
6.35555555556,-0.807791506874,0.355555555556,5.9,0.1,4.0,0.455555555556
5.31002927901,-0.745566498383,0.210029279009,4.8,0.3,8.9,0.510029279009
4.9635758957,-0.713220300298,-0.0364241042967,2.0,3.0,13.9,2.9635758957
6.18790691976,-0.738911151767,-3.81209308024,8.1,1.9,13.9,-1.91209308024
5.21099799809,-1.82091370483,1.21099799809,0.1,3.9,19.9,5.11099799809
4.98075029025,-1.43939856006,0.980750290253,0.1,3.9,25.9,4.88075029025
6.18790691976,-0.77488300898,-3.81209308024,6.1,3.9,25.9,0.0879069197592
4.63999816653,-1.02187596894,0.639998166534,3.9,0.1,31.9,0.739998166534
4.51831496714,-2.23301399934,1.41831496714,0.1,3.0,38.8,4.41831496714
6.18790691976,-0.738911151767,0.187906919759,6.0,0.0,42.8,0.187906919759
4.3382314866,-2.0661225652,-5.6617685134,4.5,5.5,42.8,-0.161768513399
3.84956274079,-0.72932676659,-0.150437259215,2.0,2.0,48.8,1.84956274079
6.09930659201,-0.719672883048,-3.90069340799,6.6,3.4,48.8,-0.500693407987
4.3382314866,-0.798704897071,0.338231486601,4.0,0.0,54.8,0.338231486601
3.92049568189,-1.59321455658,-1.07950431811,2.0,3.0,59.8,1.92049568189
6.09930659201,-0.719672883048,-3.90069340799,7.6,2.4,59.8,-1.50069340799
4.17875135354,-1.35383969312,-0.921248646464,0.1,5.0,64.7,4.07875135354
4.42949469327,-0.958279644639,-0.570505306735,0.1,4.9,69.7,4.32949469327
6.09930659201,-1.08339497563,-3.90069340799,7.2,2.8,69.7,-1.10069340799
4.61313095019,-0.996422657899,0.613130950186,4.0,0.0,75.7,0.613130950186
4.69849467061,-0.780942457047,-0.301505329392,0.1,4.9,80.7,4.59849467061
6.09930659201,-3.44339480736,-1.90069340799,7.5,0.5,82.7,-1.40069340799
4.32403247948,-0.769793326676,-0.275967520523,2.0,2.6,88.1,2.32403247948
4.84065798761,-1.24649183385,0.840657987615,3.5,0.5,94.1,1.34065798761
6.99550593959,-0.988472116042,-3.00449406041,8.3,1.7,94.1,-1.30449406041
4.45415441856,-0.937467600054,-5.54584558144,5.1,4.9,94.1,-0.645845581442
4.44427783663,-0.861440060981,0.444277836629,2.5,1.5,100.1,1.94427783663
6.99550593959,-7.53668040673,-3.00449406041,7.2,2.8,100.1,-0.20449406041
4.45415441856,-1.02756028083,-5.54584558144,6.5,3.5,100.1,-2.04584558144
4.23479559943,-0.753895181664,0.234795599433,0.3,3.7,106.1,3.93479559943
6.99550593959,-1.31848262317,-3.00449406041,8.3,1.7,106.1,-1.30449406041
4.45415441856,-1.53913239501,-1.04584558144,0.1,5.4,110.6,4.35415441856
4.12408670649,-0.716574032398,-0.0759132935121,2.8,1.4,116.4,1.32408670649
6.99550593959,-2.42344083533,-1.50449406041,8.0,0.5,117.9,-1.00449406041
4.94728293882,-0.714318304513,-0.0527170611791,4.5,0.5,122.9,0.447282938821
4.15988071926,-0.714928108795,0.0598807192582,0.0,4.1,128.8,4.15988071926
7.70489262432,-2.90967160958,-2.29510737568,8.1,1.9,128.8,-0.395107375684
4.9721396546,-0.712804105973,-5.0278603454,7.2,2.8,128.8,-2.2278603454
4.13164625424,-0.8780513747,-0.468353745757,0.0,4.6,134.2,4.13164625424
7.70489262432,-1.19016166997,-2.29510737568,8.6,1.4,134.2,-0.895107375684
4.9721396546,-0.712804105973,-0.0278603453951,0.1,4.9,139.2,4.8721396546
4.3524805664,-0.806145525966,0.352480566405,2.8,1.2,145.2,1.5524805664
7.70489262432,-0.988836524912,-2.29510737568,8.0,2.0,145.2,-0.295107375684
4.98527613588,-0.712381190639,-0.0147238641186,3.1,1.9,150.2,1.88527613588
4.18628182424,-9.52232301656,-3.41371817576,0.0,7.6,152.6,4.18628182424
7.70489262432,-1.19016166997,-0.795107375684,7.9,0.6,154.1,-0.195107375684
4.99221861138,-0.712263070475,-0.00778138861917,1.0,4.0,159.1,3.99221861138
5.79589018563,-3.15050722527,1.79589018563,0.1,3.9,165.1,5.69589018563
8.07979512482,-0.886252636912,-1.92020487518,8.0,2.0,165.1,0.0797951248177
4.99588762784,-0.712230079538,-0.00411237215684,3.4,1.6,170.1,1.59588762784
4.94910679283,-1.39323116003,0.949106792832,3.4,0.6,176.1,1.54910679283
8.07979512482,-0.717030988564,-1.92020487518,8.6,1.4,176.1,-0.520204875182
4.99782665979,-0.712220865176,-0.00217334020752,0.0,5.0,181.1,4.99782665979
4.50159175177,-0.902424323971,0.501591751772,0.0,4.0,187.1,4.50159175177
8.07979512482,-0.845707058037,-0.420204875182,8.6,-0.1,188.6,-0.520204875182
4.99885141532,-0.712218291607,-0.00114858467995,3.0,2.0,193.6,1.99885141532
4.26508532796,-0.765342077713,0.265085327959,0.0,4.0,199.6,4.26508532796
8.27792667692,-0.749500957246,-1.72207332308,8.9,1.1,199.6,-0.622073323084
4.99939298654,-0.71221757281,-5.00060701346,7.0,3.0,199.6,-2.00060701346
4.14009447095,-0.713432625779,0.0400944709536,0.1,4.0,205.5,4.04009447095
8.27792667692,-0.749500957246,-0.222073323084,8.3,0.2,207.0,-0.0220733230843
4.99939298654,-0.719869423643,-5.00060701346,5.8,4.2,207.0,-0.800607013464
4.12118945526,-0.712556736089,0.0211894552582,0.0,4.1,212.9,4.12118945526
8.38263686659,-0.722630613495,-0.11736313341,8.5,0.0,214.4,-0.11736313341
4.99939298654,-0.742641413584,-5.00060701346,6.2,3.8,214.4,-1.20060701346
4.11119837732,-0.721565380064,0.111198377319,3.0,1.0,220.4,1.11119837732
8.43797496749,-0.715125732127,-1.56202503251,8.6,1.4,220.4,-0.16202503251
4.99939298654,-0.71221757281,-0.000607013463636,1.0,4.0,225.4,3.99939298654
4.05876703159,-0.714828212653,0.0587670315869,3.0,1.0,231.4,1.05876703159
8.43797496749,-1.37734997551,-1.56202503251,8.8,1.2,231.4,-0.36202503251
4.99967920054,-0.71221737205,-0.000320799459949,5.0,0.0,236.4,-0.000320799459949
4.03105768344,-0.71294652321,0.0310576834375,2.4,1.6,242.4,1.63105768344
8.43797496749,-0.715125732127,-0.0620250325099,5.9,2.6,243.9,2.53797496749
4.99983046127,-0.712217315978,-0.000169538732942,4.8,0.2,248.9,0.199830461267
4.01641361958,-0.712420967744,0.0164136195832,2.0,2.0,254.9,2.01641361958
8.46722050148,-2.12541497198,-1.53277949852,8.1,1.9,254.9,0.367220501481
4.99991040078,-0.712217300317,-8.95992218073e-05,0.1,4.9,259.9,4.89991040078
4.00867440446,-0.712274180212,0.00867440446308,0.1,3.9,265.9,3.90867440446
8.46722050148,-0.713029620336,-0.0327794985194,6.1,2.4,267.4,2.36722050148
4.99995264787,-0.712217295943,-4.73521325137e-05,3.9,1.1,272.4,1.09995264787
4.0045843205,-0.712233182485,0.00458432050332,0.1,3.9,278.4,3.9045843205
8.48267642144,-0.712444176754,-0.017323578557,6.0,2.5,279.9,2.48267642144
4.99997497496,-0.712217294721,-2.50250438381e-05,4.5,0.5,284.9,0.499974974956
4.00242275935,-0.712221731829,0.00242275934522,2.0,2.0,290.9,2.00242275935
8.49084469295,-0.712280662484,-0.00915530705394,6.6,1.9,292.4,1.89084469295
4.99998677456,-0.71221729438,-1.32254406688e-05,4.0,1.0,297.4,0.999986774559
4.00128039975,-0.712218533663,0.00128039975403,2.0,2.0,303.4,2.00128039975
8.49516152815,-0.712234992983,-0.00483847185363,7.6,0.9,304.9,0.895161528146
4.99999301051,-0.712217294284,-6.98948948941e-06,0.1,4.9,309.9,4.89999301051
4.00067667618,-0.71967539559,-0.0993233238236,0.1,4.0,315.8,3.90067667618
8.49744292466,-0.7122222375,-0.00255707533788,7.2,1.3,317.3,1.29744292466
4.99999630614,-0.712217294258,-3.69386280141e-06,4.0,1.0,322.3,0.999996306137
4.0475087942,-0.713923666604,0.0475087942002,0.1,3.9,328.3,3.9475087942
8.49864861583,-0.712218674897,-0.00135138417281,7.5,1.0,329.8,0.998648615827
4.99999804784,-0.71221729425,-1.95216294685e-06,2.0,3.0,334.8,2.99999804784
