opb,clh,rpe,cob,coe,cmr,sve
6.1,-3.81905250348,-0.5,7.9,-2.9,91.9,"[ -1.00000000e+00  -1.80000000e+00   6.00000000e-01  -1.00000000e+00
  -1.80000000e+00   8.88178420e-16  -2.40000000e+00  -1.80000000e+00
  -8.00000000e-01  -2.90000000e+00  -3.10000000e+00  -1.20000000e+00
  -3.20000000e+00  -2.80000000e+00  -1.30000000e+00  -3.30000000e+00
  -3.30000000e+00  -1.30000000e+00  -3.30000000e+00  -3.10000000e+00
  -1.50000000e+00  -3.20000000e+00  -2.80000000e+00  -1.60000000e+00
  -3.20000000e+00  -3.20000000e+00  -1.70000000e+00  -3.20000000e+00
  -3.40000000e+00]"
4.7,-2.95435231267,-3.9,5.1,4.9,91.9,"[  1.80000000e+00   1.00000000e+00   3.40000000e+00   1.80000000e+00
   1.00000000e+00   2.80000000e+00   4.00000000e-01   1.00000000e+00
   2.00000000e+00  -1.00000000e-01  -3.00000000e-01   1.60000000e+00
  -4.00000000e-01   8.88178420e-16   1.50000000e+00  -5.00000000e-01
  -5.00000000e-01   1.50000000e+00  -5.00000000e-01  -3.00000000e-01
   1.30000000e+00  -4.00000000e-01   8.88178420e-16   1.20000000e+00
  -4.00000000e-01  -4.00000000e-01   1.10000000e+00  -4.00000000e-01
  -6.00000000e-01   1.00000000e+00]"
4.3,-3.32864842403,-0.3,5.0,0.0,96.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3]"
6.0,-3.72459508926,-0.7,7.3,-2.3,101.9,"[-0.4 -1.2  1.2 -0.4 -1.2  0.6 -1.8 -1.2 -0.2 -2.3 -2.5 -0.6 -2.6 -2.2 -0.7
 -2.7 -2.7 -0.7 -2.7 -2.5 -0.9 -2.6 -2.2 -1.  -2.6 -2.6 -1.1 -2.6 -2.8 -1.2
 -2.6 -3. ]"
4.8,-2.77893711616,1.0,5.0,0.0,106.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1. ]"
4.4,-3.20332179014,-5.2,5.0,5.0,106.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1.  -0.2]"
6.0,-3.69989135005,-5.6,8.5,1.5,106.9,"[-1.6 -2.4  0.  -1.6 -2.4 -0.6 -3.  -2.4 -1.4 -3.5 -3.7 -1.8 -3.8 -3.4 -1.9
 -3.9 -3.9 -1.9 -3.9 -3.7 -2.1 -3.8 -3.4 -2.2 -3.8 -3.8 -2.3 -3.8 -4.  -2.4
 -3.8 -4.2 -2.5 -3.7 -4.1]"
4.9,-2.72745168921,1.0,5.0,0.0,111.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1.  -0.2 -0.6  1. ]"
4.3,-3.32022067844,-0.1,5.0,0.0,116.9,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1.  -0.2 -0.6  1.  -0.1]"
5.9,-3.1306648863,-1.9,5.1,1.1,120.7,"[  1.80000000e+00   1.00000000e+00   3.40000000e+00   1.80000000e+00
   1.00000000e+00   2.80000000e+00   4.00000000e-01   1.00000000e+00
   2.00000000e+00  -1.00000000e-01  -3.00000000e-01   1.60000000e+00
  -4.00000000e-01   8.88178420e-16   1.50000000e+00  -5.00000000e-01
  -5.00000000e-01   1.50000000e+00  -5.00000000e-01  -3.00000000e-01
   1.30000000e+00  -4.00000000e-01   8.88178420e-16   1.20000000e+00
  -4.00000000e-01  -4.00000000e-01   1.10000000e+00  -4.00000000e-01
  -6.00000000e-01   1.00000000e+00  -4.00000000e-01  -8.00000000e-01
   9.00000000e-01  -3.00000000e-01  -7.00000000e-01   9.00000000e-01
  -2.00000000e-01  -8.00000000e-01]"
5.0,-2.7014211826,0.9,5.0,0.0,125.7,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1.  -0.2 -0.6  1.  -0.1 -0.7  0.9]"
4.2,-3.43092859725,0.0,5.0,0.0,130.7,"[ 1.9  1.1  3.5  1.9  1.1  2.9  0.5  1.1  2.1  0.  -0.2  1.7 -0.3  0.1  1.6
 -0.4 -0.4  1.6 -0.4 -0.2  1.4 -0.3  0.1  1.3 -0.3 -0.3  1.2 -0.3 -0.5  1.1
 -0.3 -0.7  1.  -0.2 -0.6  1.  -0.1 -0.7  0.9  0. ]"
