beh,opb,clh,rpe,cob,coe,cmr,sve,ecm,ecv,sib
4.0,3.7,-3.40323835253,-1.8536565587,4.3,5.7,0,3.8463434413,1.88456221946,1.8536565587,3.3
4.5,4.6,-4.10856732954,-1.62462632975,4.3,5.7,0,4.07537367025,1.99985075039,1.62462632975,3.3
7.5,8.4,-3.86797963779,-0.919449151616,6.0,3.3,0.6999999999999993,2.38055084838,1.8259512425,1.61944915162,9.3
5.0,3.7,-3.54781360004,-1.79047818868,5.4,4.6,0.6999999999999993,2.80952181132,1.88456221946,1.79047818868,4.4
4.0,4.6,-3.5342922476,2.8318386836,5.3,0.0,5.3999999999999995,2.8318386836,1.99985075039,1.8681613164,5.3
5.0,3.7,-4.26836177632,6.21741709563,2.3,0.0,13.1,6.21741709563,1.88456221946,1.48258290437,2.3
4.1,4.6,-4.22380350863,-1.57751216619,4.3,5.7,13.1,4.12248783381,1.99985075039,1.57751216619,3.3
6.5,8.4,-4.0180477538,-0.955077013238,6.1,3.3,13.7,2.34492298676,1.8259512425,1.55507701324,9.4
4.5,3.7,-3.3476029809,-1.87736161554,4.5,5.5,13.7,3.62263838446,1.88456221946,1.87736161554,3.5
3.8,4.6,-5.02887220206,-1.23443987419,3.7,6.3,13.7,5.06556012581,1.99985075039,1.23443987419,2.7
6.0,8.4,-3.75237565598,1.03240173521,2.6,4.7,16.4,5.73240173521,1.8259512425,1.66759826479,7.3
5.0,3.7,-5.39382760586,-1.00519706624,2.6,7.4,16.4,6.39480293376,1.88456221946,1.00519706624,1.6
4.0,4.6,-3.22886269397,3.40014924961,4.6,0.0,21.799999999999997,3.40014924961,1.99985075039,1.99985075039,4.6
4.0,4.6,-3.00732285592,3.30154492137,4.6,0.0,27.199999999999996,3.30154492137,2.09845507863,2.09845507863,4.6
7.0,8.4,-3.41785698436,0.0893867796479,7.6,0.5,29.099999999999994,0.589386779648,1.8259512425,1.81061322035,8.1
5.5,3.7,-3.47106432265,-1.82291812869,4.5,5.5,29.099999999999994,3.67708187131,1.88456221946,1.82291812869,3.5
4.0,4.6,-3.42964196209,4.07590459939,4.0,0.0,35.099999999999994,4.07590459939,2.19419988135,1.92409540061,4.0
7.0,8.4,-3.74469210445,-0.871678833696,6.0,3.2,35.89999999999999,2.3283211663,1.8259512425,1.6716788337,9.2
6.0,3.7,-3.43919072421,3.96507244832,4.2,0.0,41.69999999999999,3.96507244832,1.88456221946,1.83492755168,4.2
7.1,8.4,-4.20448204079,-0.975526118937,7.3,2.2,42.19999999999999,1.22447388106,1.8259512425,1.47552611894,9.5
3.9,4.6,-3.33418423535,3.83090976131,4.2,0.0,47.999999999999986,3.83090976131,2.19419988135,1.96909023869,4.2
7.0,8.4,-3.69594293967,0.908575098828,8.3,-0.9,50.59999999999999,0.00857509882799,1.8259512425,1.69142490117,7.4
6.0,4.2,-3.49754160806,3.88567607974,4.3,0.0,56.29999999999999,3.88567607974,1.94991465269,1.81432392026,4.3
3.9,4.6,-3.38465664123,3.04787700639,5.0,0.0,61.29999999999999,3.04787700639,2.19419988135,1.95212299361,5.0
6.5,4.2,-5.78618694655,2.65526559959,6.5,0.0,64.79999999999998,2.65526559959,1.94991465269,0.84473440041,6.5
4.0,4.6,-7.62124986933,1.34659940099,8.5,0.0,66.29999999999998,1.34659940099,2.19419988135,0.15340059901,8.5
8.0,8.4,-3.3812566247,-0.225951242504,8.3,0.1,67.89999999999998,-0.125951242504,1.8259512425,1.8259512425,8.4
6.5,4.2,-3.54120040821,4.9000994815,3.3,0.0,74.59999999999998,4.9000994815,1.94991465269,1.7999005185,3.3
4.0,4.6,-2.82337786522,3.20580011865,4.6,0.0,79.99999999999999,3.20580011865,2.19419988135,2.19419988135,4.6
8.0,8.5,-3.41070204593,0.0867945630382,9.0,-0.9,81.89999999999999,-0.813205436962,1.82442774919,1.81320543696,8.1
6.5,4.2,-3.25379854824,3.77299147343,4.3,0.0,87.6,3.77299147343,1.94991465269,1.92700852657,4.3
4.0,4.6,-5.86629281903,2.0939783331,7.0,0.0,90.6,2.0939783331,2.28716808479,0.906021666902,7.0
9.0,8.5,-3.63525829024,0.882226420962,7.7,-0.3,93.19999999999999,0.582226420962,1.82442774919,1.71777357904,7.4
4.0,4.6,-3.62376041699,4.33993022077,3.8,0.0,99.39999999999999,4.33993022077,2.28716808479,1.86006977923,3.8
8.5,8.5,-3.39894999791,-0.418982515306,8.2,0.4,100.8,-0.0189825153055,1.82442774919,1.81898251531,8.6
6.5,4.3,-3.40472840623,-1.867603109,4.4,5.6,100.8,3.732396891,2.0364252793,1.867603109,3.4
8.5,8.5,-3.47392851264,0.313310037548,4.6,3.3,102.89999999999999,3.61331003755,1.82442774919,1.78668996245,7.9
4.0,4.3,-3.00384835565,3.6635747207,4.3,0.0,108.6,3.6635747207,2.0364252793,2.0364252793,4.3
4.0,4.6,-4.0079100233,2.59943860811,5.7,0.0,112.89999999999999,2.59943860811,2.28716808479,1.70056139189,5.7
8.5,8.5,-5.9279963676,-0.743134510828,6.2,3.8,112.89999999999999,3.05686548917,1.82442774919,0.743134510828,4.4
6.5,4.3,-3.72959394762,3.66632729042,4.6,0.0,118.3,3.66632729042,2.1426689462,1.73367270958,4.6
4.0,4.6,-3.42729841927,3.95097885772,4.1,0.0,124.2,3.95097885772,2.28716808479,1.94902114228,4.1
8.5,8.5,-3.56619422377,-0.747673231369,8.9,0.1,125.2,-0.647673231369,1.82442774919,1.74767323137,9.0
6.5,4.3,-3.24660167154,-1.94200340346,4.3,5.7,125.2,3.75799659654,2.1426689462,1.94200340346,3.3
4.0,4.6,-3.55147681283,2.89954930702,5.2,0.0,130.0,2.89954930702,2.28716808479,1.90045069298,5.2
6.5,4.3,-5.57754767848,2.75152384138,6.3,0.0,133.7,2.75152384138,2.1426689462,0.948476158618,6.3
8.5,8.5,-3.68265673534,1.00246208488,8.1,-0.8,136.39999999999998,0.202462084885,1.82442774919,1.69753791512,7.3
4.0,4.6,-3.33509660187,3.30485339877,4.7,0.0,141.7,3.30485339877,2.28716808479,1.99514660123,4.7
8.5,8.5,-4.83232958297,2.99072026194,8.4,-2.6,145.89999999999998,0.390720261939,1.82442774919,1.20927973806,5.8
5.2,4.3,-3.38323401056,-1.88216128394,4.8,5.2,145.89999999999998,3.31783871606,2.1426689462,1.88216128394,3.8
8.6,8.5,-3.40838327103,0.08427752071,8.6,-0.5,147.79999999999998,-0.41572247929,1.82442774919,1.81572247929,8.1
6.2,4.3,-4.18836797615,-1.53795478082,3.4,6.6,147.79999999999998,5.06204521918,2.1426689462,1.53795478082,2.4
6.9,4.6,-2.65751368242,3.11283191521,4.6,0.0,153.2,3.11283191521,2.28716808479,2.28716808479,4.6
6.5,8.5,-3.81583625083,1.15750690825,7.2,8.881784197e-16,156.0,1.15750690825,1.82442774919,1.64249309175,7.2
6.0,4.3,-5.20268177052,2.89412737611,6.0,0.0,160.0,2.89412737611,2.1426689462,1.10587262389,6.0
4.0,4.6,-3.34998439214,-1.99961917804,5.5,4.5,160.0,2.50038082196,2.37744021033,1.99961917804,4.5
8.5,8.5,-3.60077008865,0.665259928829,8.2,-0.6,162.4,0.0652599288289,1.82442774919,1.73474007117,7.6
6.5,4.3,-7.80378770735,-1.42662197235e-14,10.0,0.0,162.4,-1.42662197235e-14,2.1426689462,1.42662197235e-14,10.0
4.0,4.6,-6.34443584229,-0.724020306387,3.0,7.0,162.4,6.27597969361,2.37744021033,0.724020306387,2.0
8.5,8.5,-3.39118043072,-0.324427749194,8.3,0.2,163.9,-0.124427749194,1.82442774919,1.82442774919,8.5
4.5,3.7,-3.37045001278,-1.867603109,4.4,5.6,0,3.732396891,1.88456221946,1.867603109,3.4
