opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
7.0,-2.4781328407,0.351668550158,8.3,1.0,138.8,0.851668550158,1.64006879968,0.848331449842
7.0,-1.32070406776,2.02236249298,4.9,-1.0,143.9,2.02236249298,3.07763750702,3.07763750702
5.0,nan,nan,nan,0.0,nan,nan,5.01875010805,nan
5.0,-2.3965555474,0.0296357563042,8.3,0.0,144.9,0.729635756304,1.64006879968,0.970364243696
3.0,nan,nan,nan,0.0,nan,nan,3.77941918495,nan
3.0,-1.10325488704,2.08124989195,2.9,0.0,152.0,2.08124989195,5.01875010805,5.01875010805
7.0,-2.3897084043,0.119351828048,8.2,1.3,153.1,0.819351828048,1.64006879968,0.980648171952
7.0,-1.13228517689,1.42058081505,4.8,-1.3,158.3,1.42058081505,3.77941918495,3.77941918495
5.0,nan,nan,nan,0.0,nan,nan,5.7409663509,nan
5.0,-2.36218009267,0.0779354516854,8.5,0.0,159.4,0.477935451685,1.64006879968,1.02206454831
3.0,-1.06520360376,0.82762389389,4.9,6.4,164.5,0.82762389389,4.27237610611,4.27237610611
3.0,-5.01880062071,1.29999999972,8.7,-6.4,165.8,1.29999999972,5.7409663509,2.84669545648e-10
7.0,-2.34424675276,0.150891006269,8.7,1.4,167.0,0.250891006269,1.64006879968,1.04910899373
7.0,-1.04233178235,0.340429443359,5.1,-1.4,171.9,0.340429443359,4.55957055664,4.55957055664
5.0,-1.0353352417,0.959033649103,3.3,0.0,178.6,0.959033649103,5.7409663509,5.7409663509
5.0,-2.30962682158,-1.10146980636,9.1,0.0,178.6,-0.20146980636,1.64006879968,1.10146980636
4.0,-1.03533833886,0.222296741232,5.1,0.0,183.5,0.222296741232,4.67770325877,4.67770325877
4.0,-1.0211095981,0.926238590952,3.0,0.0,190.5,0.926238590952,6.07376140905,6.07376140905
