opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
8.4,-2.4603204818,-0.893808839228,5.0,5.0,0.0,4.10619116077,1.84994382012,0.893808839228
8.4,-1.64662631947,3.85471076017,4.5,-5.0,5.5,3.85471076017,1.64528923983,1.64528923983
4.5,-2.80373991471,1.80864865722,6.0,0.0,2.5,3.30864865722,2.11809049445,0.691351342775
4.5,-2.18801588027,3.81838947743,5.0,0.0,7.5,3.81838947743,1.84994382012,1.18161052257
4.2,-1.68100469861,4.37226389277,4.0,1.5,13.5,4.37226389277,2.12712808485,1.62773610723
4.2,-1.74206814447,3.34109079275,5.0,-1.5,18.5,3.34109079275,1.84994382012,1.65890920725
8.4,-1.69499272006,4.26568544115,4.1,0.0,24.4,4.26568544115,2.17426909383,1.63431455885
8.4,-2.23859591267,2.21016969143,6.1,0.0,27.9,2.61016969143,2.11809049445,1.28983030857
4.5,-2.33997792459,-1.03838311614,5.5,0.0,27.9,3.46161688386,2.07654555634,1.03838311614
4.5,-1.73685943885,4.59010302419,3.8,0.0,34.1,4.59010302419,2.17426909383,1.60989697581
8.4,-1.96874731436,2.42244153514,2.6,0.0,38.1,5.82244153514,2.11809049445,1.57755846486
8.4,-1.35839992764,-2.07654555634,6.0,0.0,38.1,1.92345444366,2.07654555634,2.07654555634
4.0,-1.22285872872,3.82573090617,4.0,0.0,44.1,3.82573090617,2.18365985383,2.17426909383
4.0,-0.816098670687,3.3475145429,4.0,0.0,50.1,3.3475145429,2.6524854571,2.6524854571
4.2,-2.53224535417,-0.985862950477,7.6,0.4,50.1,1.41413704952,2.11809049445,0.985862950477
4.2,-2.06410947343,-1.32101056713,6.5,-0.4,50.1,2.17898943287,1.84994382012,1.32101056713
5.0,-0.509467850804,2.92907522504,4.0,4.5,56.1,2.92907522504,3.07092477496,3.07092477496
5.0,-2.64840345353,2.13736991833,6.0,-4.5,59.1,3.13736991833,2.11809049445,0.862630081668
4.0,-1.93753299729,2.54624793253,6.0,0.0,63.1,2.54624793253,1.84994382012,1.45375206747
4.0,-2.58985768503,-0.925395122207,7.3,0.0,63.1,1.77460487779,2.11809049445,0.925395122207
4.2,-2.01991698912,4.48039938911,3.9,3.4,69.2,4.48039938911,3.43705917809,1.61960061089
4.2,-2.39644019665,-1.12980132146,8.3,-3.4,69.2,0.570198678541,2.11809049445,1.12980132146
5.0,-1.64172998331,2.22796694097,6.0,4.0,73.2,2.22796694097,1.84994382012,1.77203305903
5.0,-1.50042914176,3.92034946547,3.9,-4.0,79.3,3.92034946547,3.43705917809,2.17965053453
3.8,-1.83475209475,1.92356389579,6.5,0.0,82.8,1.92356389579,2.05052892665,1.57643610421
3.8,-0.337523484685,2.56294082191,4.0,0.0,88.8,2.56294082191,3.43705917809,3.43705917809
4.0,-3.05687483134,-0.430458735124,8.3,0.0,88.8,1.26954126488,2.11809049445,0.430458735124
4.0,-1.61187113894,1.68311840882,6.5,0.0,92.3,1.68311840882,2.05052892665,1.81688159118
4.2,-0.200119910589,2.24257321917,4.0,2.4,98.3,2.24257321917,3.75742678083,3.75742678083
4.2,-3.10768200614,-0.376651393234,9.0,-2.4,98.3,0.623348606766,2.11809049445,0.376651393234
8.4,-1.41916727457,1.47272860772,6.5,3.5,101.8,1.47272860772,2.05052892665,2.02727139228
8.4,-0.119930703571,1.96225156677,4.0,-3.5,107.8,1.96225156677,4.03774843323,4.03774843323
4.0,-3.3843456035,0.916141561865,7.7,0.0,108.8,2.21614156186,2.11809049445,0.0838584381352
4.0,-0.0742700403676,1.71697012093,4.0,0.0,114.8,1.71697012093,4.28302987907,4.28302987907
4.2,-3.252467278,1.27653776893,8.2,1.0,116.3,1.57653776893,2.11809049445,0.223462231073
