opb,clh,rpe,cob,coe,cmr,sve,emv,ecv
4.4,-1.83505721673,-1.42880973684,6.0,0.0,4.0,-1.42880973684,6.0319282155,5.42880973684
4.4,-2.4912908547,-0.476339204222,6.0,0.0,4.0,-0.476339204222,6.34172327841,4.47633920422
3.1,-1.86824791247,-1.91469571009,5.6,0.0,4.0,-1.51469571009,6.74525606712,5.91469571009
3.1,-1.56895096147,-1.01094996722,5.1,0.0,8.9,-1.01094996722,6.0319282155,5.91094996722
7.7,-1.95424429384,-0.449378159364,5.0,0.4,13.9,-0.449378159364,6.34172327841,5.44937815936
7.7,-1.86824791247,-5.91469571009,8.1,-0.4,13.9,-4.01469571009,6.74525606712,5.91469571009
4.4,-1.52287322454,0.00556484496409,4.0,0.0,19.9,0.00556484496409,6.0319282155,5.99443515504
4.4,-1.58750397832,-0.113850552333,4.0,0.0,25.9,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.91561593409,-5.82887274123,6.1,0.0,25.9,-1.92887274123,6.74525606712,5.82887274123
3.1,-1.52287322454,0.00556484496409,4.0,0.0,31.9,0.00556484496409,6.0319282155,5.99443515504
7.7,-1.46173484728,0.558276721588,3.1,1.9,38.8,0.558276721588,6.34172327841,6.34172327841
7.7,-1.86824791247,-1.91469571009,2.6,-1.9,42.8,1.48530428991,6.74525606712,5.91469571009
4.4,-1.77579096602,-5.53619031587,4.0,0.0,42.8,0.463809684126,6.0319282155,5.53619031587
4.4,-1.58750397832,-0.113850552333,4.0,0.0,48.8,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.86824791247,-5.91469571009,6.6,0.0,48.8,-2.51469571009,6.74525606712,5.91469571009
3.1,-1.52287322454,0.00556484496409,4.0,0.0,54.8,0.00556484496409,6.0319282155,5.99443515504
7.7,-1.95424429384,-0.449378159364,5.0,3.9,59.8,-0.449378159364,6.34172327841,5.44937815936
7.7,-1.86824791247,-5.91469571009,7.6,-3.9,59.8,-3.51469571009,6.74525606712,5.91469571009
4.4,-1.56895096147,-1.01094996722,5.1,0.0,64.7,-1.01094996722,6.0319282155,5.91094996722
4.4,-1.95424429384,-0.449378159364,5.0,0.0,69.7,-0.449378159364,6.34172327841,5.44937815936
3.1,-1.55767647189,-6.47739945323,7.2,0.0,69.7,-3.67739945323,6.74525606712,6.47739945323
3.1,-1.52287322454,0.00556484496409,4.0,4.4408920985e-16,75.7,0.00556484496409,6.0319282155,5.99443515504
7.7,-1.95424429384,-0.449378159364,5.0,3.4,80.7,-0.449378159364,6.34172327841,5.44937815936
7.7,-1.42852594713,-4.71139870176,7.3,-3.4,82.7,-4.01139870176,6.74525606712,6.71139870176
4.4,-1.50814677318,-0.621117033094,4.6,6.0,88.1,-0.621117033094,6.0319282155,6.02111703309
4.4,-1.58750397832,-0.113850552333,4.0,-6.0,94.1,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.41236157541,-6.7406858521,8.3,0.0,94.1,-5.0406858521,6.74525606712,6.7406858521
3.1,-1.55164868258,-5.94229881591,6.0,0.0,94.1,-1.94229881591,6.0319282155,5.94229881591
7.7,-1.58750397832,-0.113850552333,4.0,3.4,100.1,-0.113850552333,6.34172327841,6.11385055233
7.7,-5.07659497794,-0.101704986598,7.2,-3.4,100.1,2.6982950134,6.74525606712,0.101704986598
4.4,-1.56895096147,-5.91094996722,6.1,0.0,100.1,-2.01094996722,6.0319282155,5.91094996722
4.4,-1.58750397832,-0.113850552333,4.0,0.0,106.1,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.8225488429,-5.99749481569,8.3,0.0,106.1,-4.29749481569,6.74525606712,5.99749481569
3.1,-1.66310962882,-1.2403501385,5.5,0.0,110.6,-1.2403501385,6.0319282155,5.7403501385
7.7,-1.64405778131,-0.21138447699,4.2,2.4,116.4,-0.21138447699,6.34172327841,6.01138447699
7.7,-1.56732699274,-4.95991431617,8.0,-2.4,117.9,-4.45991431617,6.74525606712,6.45991431617
4.4,-1.55164868258,-0.942298815912,5.0,0.0,122.9,-0.942298815912,6.0319282155,5.94229881591
4.4,-1.61462188753,-0.164717415715,4.1,0.0,128.8,-0.164717415715,6.34172327841,6.06471741572
3.1,-1.86824791247,-5.91469571009,8.1,0.0,128.8,-4.01469571009,6.74525606712,5.91469571009
3.1,-1.55164868258,-5.94229881591,6.0,0.0,128.8,-1.94229881591,6.0319282155,5.94229881591
7.7,-1.7834860974,-0.358763581704,4.6,2.8,134.2,-0.358763581704,6.34172327841,5.7587635817
7.7,-1.56732699274,-6.45991431617,8.6,-2.8,134.2,-5.05991431617,6.74525606712,6.45991431617
4.4,-1.55164868258,-0.942298815912,5.0,0.0,139.2,-0.942298815912,6.0319282155,5.94229881591
4.4,-1.58750397832,-0.113850552333,4.0,0.0,145.2,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.47991512907,-6.6182900599,8.0,0.0,145.2,-4.6182900599,6.74525606712,6.6182900599
3.1,-1.55164868258,-0.942298815912,5.0,0.0,150.2,-0.942298815912,6.0319282155,5.94229881591
7.7,-3.55303383737,-0.152637689678,7.6,0.7,152.6,-0.152637689678,6.34172327841,2.55263768968
7.7,-1.56732699274,-4.95991431617,7.9,-0.7,154.1,-4.35991431617,6.74525606712,6.45991431617
4.4,-1.55164868258,-0.942298815912,5.0,0.0,159.1,-0.942298815912,6.0319282155,5.94229881591
4.4,-1.58750397832,-0.113850552333,4.0,0.0,165.1,-0.113850552333,6.34172327841,6.11385055233
3.1,-1.41236157541,-6.7406858521,8.0,0.0,165.1,-4.7406858521,6.74525606712,6.7406858521
3.1,-1.55164868258,-0.942298815912,5.0,0.0,170.1,-0.942298815912,6.0319282155,5.94229881591
7.7,-1.58750397832,-0.113850552333,4.0,1.7,176.1,-0.113850552333,6.34172327841,6.11385055233
