beh,opb,clh,rpe,cob,coe,cmr,otb,sib
6.0,4.69444444444,-0.467177019425,-5.30555555556,5.0,5.0,0,0,4.37359658026
6.0,4.03888888889,0.0776990144485,0.0315186902023,2.4,1.60737019869,5.99262980131,1,4.00737019869
6.0,6.35555555556,-1.1174918078,-3.64444444444,5.9,4.1,0,0,5.68939053874
5.1,4.69444444444,-2.28281269067,-0.929941602544,4.8,0.824386046988,4.37561395301,1,5.62438604699
5.0,4.015375946,-1.12141091765,-0.440991456106,2.0,2.4563674021,9.91924655091,1,4.4563674021
6.0,6.35555555556,-0.262553361079,-3.64444444444,8.1,1.9,9.91924655091,0,6.56593862732
4.0,5.38818087994,-0.181320949884,0.169058291263,0.1,5.11912258868,14.7001239622,1,5.21912258868
4.0,4.34435557225,-0.173838991042,-0.0420636750021,0.1,4.28641924726,20.313704715,1,4.38641924726
5.9,6.35555555556,-0.746285489431,0.283063650824,6.1,-0.0275080952683,24.2412128102,1,6.07249190473
4.0,5.26206339466,-0.532980089105,0.355789294189,3.9,1.00627410047,29.3349387098,1,4.90627410047
3.1,4.3757350738,-1.03257495173,0.621074166244,0.1,3.65466090756,35.5802778022,1,3.75466090756
6.0,6.14439007204,-0.99883115406,-0.389385375633,6.0,0.533775447674,39.0465023545,1,6.53377544767
3.0,4.9966445812,-0.838261762971,-5.0033554188,4.5,5.5,39.0465023545,0,4.47875071818
4.0,3.91241374579,-0.206884399459,0.182632482987,2.0,1.7297812628,45.3167210917,1,3.7297812628
6.0,6.43487156226,-0.260193445837,-3.56512843774,6.6,3.4,45.3167210917,0,6.22393197565
4.0,4.9966445812,-2.61282996185,-1.46543077658,4.0,2.46207535778,48.854645734,1,6.46207535778
5.0,3.77616991348,-1.15476021472,0.68595454089,2.0,1.09021537259,55.7644303614,1,3.09021537259
6.0,6.43487156226,-0.258576331738,-3.56512843774,7.6,2.4,55.7644303614,0,6.64313090036
5.1,6.08985594052,-0.192853565644,0.175182110231,0.1,5.81467383029,59.8497565311,1,5.91467383029
5.0,3.26444782597,-0.35427859036,-0.118028746315,0.1,3.28247657229,66.4672799588,1,3.38247657229
6.8,6.43487156226,-0.150737994138,-3.56512843774,7.2,2.8,66.4672799588,0,6.58554522809
4.0,5.95917008629,-0.334341853193,0.25031239092,4.0,1.70885769537,70.7584222634,1,5.70885769537
5.0,3.35249727073,-0.243741026415,0.202203351901,0.1,3.05029391882,77.6081283446,1,3.15029391882
8.0,6.43487156226,-1.19993521323,-3.56512843774,7.5,2.5,77.6081283446,0,7.14581654308
4.6,5.77243704266,-2.06465162536,-0.838095794049,2.0,4.61053283671,80.9975955079,1,6.61053283671
4.0,3.20165357021,-1.40482930973,-6.79834642979,3.5,6.5,80.9975955079,0,2.38291233987
7.6,6.43487156226,-0.157308079423,-3.56512843774,8.3,1.7,80.9975955079,0,6.58905365363
5.0,6.39765650503,-1.86994551626,-0.756124522118,5.1,2.05378102714,83.8438144807,1,7.15378102714
4.0,3.20165357021,-0.98888666789,0.385198746955,2.5,0.316454823252,91.0273596575,1,2.81645482325
10.0,6.43487156226,-1.28860255714,-0.758293342465,7.2,-0.00683509527165,93.8341947528,1,7.19316490473
5.1,6.96172539853,-1.29879189804,-3.03827460147,6.5,3.5,93.8341947528,0,6.19929003379
4.0,2.91429530498,-0.56941160697,0.375134430175,0.3,2.2391608748,101.295033878,1,2.5391608748
6.1,7.00055839574,-0.338968054384,-2.99944160426,8.3,1.7,101.295033878,0,6.74778949199
5.5,6.96172539853,-0.227064274537,-0.191431899555,0.1,7.05315729808,104.14187658,1,7.15315729808
4.2,2.63444502007,-3.37546120634,-7.36555497993,2.8,7.2,104.14187658,0,0.769298252628
8.5,7.00055839574,-0.164674974438,-2.99944160426,8.0,2.0,104.14187658,0,7.15867440904
5.0,7.10453359559,-2.78822118412,-1.14271857829,4.5,3.74725217388,105.894624406,1,8.24725217388
4.1,2.63444502007,0.0533849357338,-0.0416720212705,0.0,2.67611704134,113.218507365,1,2.67611704134
6.0,7.00055839574,0.0129260584528,-2.99944160426,8.1,1.9,113.218507365,0,7.06383545748
5.0,7.957001655,0.0495020609912,0.0464912724882,7.2,0.710510382509,115.307996982,1,7.91051038251
4.6,2.66553234794,-1.50265198506,0.870685070942,0.0,1.79484727699,123.513149705,1,1.79484727699
8.5,7.00055839574,-0.429798504499,-2.99944160426,8.6,1.4,123.513149705,0,7.3002503741
5.0,7.92231916572,-2.0110462599,1.14064243088,0.1,6.68167673484,126.73147297,1,6.78167673484
4.0,2.01600128501,0.0185896895845,-7.98399871499,2.8,7.2,126.73147297,0,1.95309554331
7.1,7.00055839574,-1.02007419706,-2.99944160426,8.0,2.0,126.73147297,0,7.61545759392
5.0,7.07139991228,-0.859640330326,-0.330786038841,3.1,4.30218595112,129.329287019,1,7.40218595112
7.6,2.01600128501,-2.84915255433,-1.59162704096,0.0,3.60762832598,135.721658693,1,3.60762832598
8.5,7.00055839574,-0.484706471407,-2.99944160426,7.9,2.1,135.721658693,0,6.82761951151
5.0,7.31816629726,-0.460993011394,-0.16295551757,1.0,6.48112181483,138.240536878,1,7.48112181483
4.0,3.20335505757,-0.362212085993,0.265111484537,0.1,2.83824357304,145.302293305,1,2.93824357304
7.6,7.00055839574,-0.191634361763,-2.99944160426,8.0,2.0,145.302293305,0,7.17307072188
5.0,7.43973111337,-0.889349149272,0.545021265138,3.4,3.49470984823,148.407583457,1,6.89470984823
4.0,3.00558189011,-0.261399901785,-6.99441810989,3.4,6.6,148.407583457,0,3.08450870853
8.0,7.00055839574,-0.827732125727,-2.99944160426,8.6,1.4,148.407583457,0,6.68320571104
5.0,7.03314524957,-2.08967153294,1.18239245086,0.0,5.85075279871,152.556830658,1,5.85075279871
4.0,3.00558189011,-2.21168664383,0.899997536824,0.0,2.10558435328,160.451246305,1,2.10558435328
8.5,7.00055839574,-0.323487800884,-2.99944160426,8.6,1.4,160.451246305,0,7.24348045837
5.0,6.15108048123,-0.464580119218,-0.164465689964,3.0,3.31554617119,164.135700134,1,6.31554617119
4.0,2.33418372764,-0.503171082838,0.339960711862,0.0,1.99422301578,172.141477118,1,1.99422301578
8.5,7.00055839574,-0.830258618026,-2.99944160426,8.9,1.1,172.141477118,0,7.51409607472
5.0,6.27377188594,-1.69058381749,-3.72622811406,7.0,3.0,172.141477118,0,5.30329501198
4.1,2.08057303659,-1.05201920539,-0.411777545244,0.1,2.39235058183,179.649126536,1,2.49235058183
8.5,7.00055839574,0.0867163508175,-2.99944160426,8.3,1.7,179.649126536,0,7.02443144136
5.1,6.27377188594,-3.05599232022,-1.70207947595,5.8,2.17585136189,181.673275174,1,7.97585136189
4.1,2.38775908534,-0.820689306626,-0.314387657863,0.0,2.7021467432,188.971128431,1,2.7021467432
8.5,7.00055839574,-0.534717998342,-2.99944160426,8.5,1.5,188.971128431,0,6.80656465867
5.2,7.543523175,-0.239761122204,0.200090022765,6.2,1.14343315224,191.627695279,1,7.34343315224
4.0,2.62229227811,-1.7058554864,-7.37770772189,3.0,7.0,191.627695279,0,1.64370614795
8.5,7.00055839574,-0.20445301393,-2.99944160426,8.6,1.4,191.627695279,0,7.17991588213
5.0,7.39425601802,-2.1809023828,1.23083603214,1.0,5.16341998588,195.464275293,1,6.16341998588
4.0,2.62229227811,-1.0579148961,-0.63510613147,3.0,0.257398409577,202.206876884,1,3.25739840958
7.5,7.00055839574,0.0134545447306,-2.99944160426,8.8,1.2,202.206876884,0,7.06355324581
5.0,6.47605233804,-3.57359148457,-1.47335947478,5.0,2.94941181282,204.257465071,1,7.94941181282
4.0,3.09608145218,-0.825073557165,-0.31623342734,2.4,1.01231487952,210.845150191,1,3.41231487952
8.5,7.00055839574,-0.902478085539,-0.55210287463,5.9,1.65266127037,213.292488921,1,7.55266127037
5.0,7.57517850623,-0.664773950369,-0.248747292879,4.8,3.02392579911,215.468563122,1,7.82392579911
4.0,3.33199158898,-2.6605508589,-6.66800841102,2.0,8.0,215.468563122,0,1.84646221603
7.1,7.41242714022,-1.00332294541,-2.58757285978,8.1,1.9,215.468563122,0,6.80688578933
5.0,7.76074398671,-1.45608999586,-0.581891348031,0.1,8.24263533474,217.125927787,1,8.34263533474
4.0,3.33199158898,-0.271376710397,0.0831270548506,0.1,3.14886453413,223.877063253,1,3.24886453413
8.5,7.41242714022,-0.237939317814,-0.197239172665,6.1,1.50966631288,226.26739694,1,7.60966631288
5.0,8.19483493235,-0.385553250093,0.277505642674,3.9,4.01732928967,228.35006765,1,7.91732928967
4.0,3.26997880606,-0.228123113826,-0.0649172906942,0.1,3.23489609675,235.015171554,1,3.33489609675
8.5,7.55956756302,-0.35632353562,0.261984664289,6.0,1.29758289874,237.717588655,1,7.29758289874
5.0,7.98781572291,-1.02285664247,-0.399500106252,4.5,3.88731582916,239.330272826,1,8.38731582916
4.0,3.31840710492,0.00651890429871,0.0693153286919,2.0,1.24909177623,246.081181049,1,3.24909177623
8.5,7.36412700347,-0.134561834823,0.144229201165,6.6,0.6198978023,248.861283247,1,7.2198978023
5.0,8.28584280217,-5.26201505745,2.86690686238,4.0,1.41893593979,253.442347307,1,5.41893593979
4.0,3.26669786971,-0.505515818577,-0.181699619395,2.0,1.44839748911,259.993949818,1,3.44839748911
8.5,7.2565320194,-0.0660996882442,-2.7434679806,7.6,2.4,259.993949818,0,7.14865621806
5.0,6.14713028284,-1.51380989132,0.876609919163,0.1,5.17052036367,264.723429455,1,5.27052036367
4.1,3.40224578578,-0.275057708399,0.218832510035,0.1,3.08341327575,271.540016179,1,3.18341327575
8.5,7.2565320194,-2.0986299591,-1.19084797511,7.2,1.24737999451,273.092636184,1,8.44737999451
5.0,5.49317928314,-1.38986556362,0.810795481155,4.0,0.682383801987,278.410252382,1,4.68238380199
4.0,3.2389967333,0.0306041425995,0.0565260671542,0.1,3.08247066614,285.227781716,1,3.18247066614
8.5,8.14490460883,-0.642757964672,0.414081346115,7.5,0.230823262713,287.496958453,1,7.73082326271
5.0,4.8883258542,-2.26774998532,1.27695210908,2.0,1.61137374512,293.885584708,1,3.61137374512
3.0,3.1968282872,-0.172549790123,-6.8031717128,3.5,6.5,293.885584708,0,3.03242748177
8.5,7.83599992463,-0.833381880856,-2.16400007537,8.3,1.7,293.885584708,0,8.15573115624
5.0,3.93571958083,-1.49913422365,-6.06428041917,5.1,4.9,293.885584708,0,4.53573254876
4.1,3.1968282872,-0.6273233115,0.232980573915,2.5,0.463847713285,300.921736995,1,2.96384771329
8.5,7.83599992463,-0.653032417628,-0.418898887966,7.2,1.05489881259,302.666838182,1,8.25489881259
5.1,3.93571958083,-1.36960999234,-6.06428041917,6.5,3.5,302.666838182,0,4.73727089369
3.1,3.02302477906,-4.92653194139,2.68876532775,0.3,0.0342594513057,312.332578731,1,0.334259451306
8.5,8.14849849505,-0.361527709119,-0.121080625312,8.3,-0.0304208796387,314.062999611,1,8.26957912036
5.1,3.93571958083,-1.42043363364,-0.828691137314,0.1,4.66441071814,319.298588893,1,4.76441071814
3.5,1.01720584456,-0.384125741165,-8.98279415544,2.8,7.2,319.298588893,0,0.740458209122
8.6,8.23882464153,-0.0926516090435,-0.00788378718086,8.0,0.246708428713,321.051880464,1,8.24670842871
5.0,4.55392316926,-0.459279886625,-0.162234292043,4.5,0.216157461304,326.335723003,1,4.7161574613
3.0,1.01720584456,-0.111321719939,-0.1296253754,0.0,1.14683121995,335.188891783,1,1.14683121995
8.6,8.24470594677,-0.402117038708,-1.75529405323,8.1,1.9,335.188891783,0,7.95840493234
5.0,4.67494995113,-0.0890368708955,-5.32505004887,7.2,2.8,335.188891783,0,4.55489450581
3.5,1.1139063746,-0.0676118142203,0.108678740225,0.0,1.00522763438,344.183664148,1,1.00522763438
8.5,8.24470594677,-0.551271990862,-0.364558820073,8.6,0.0092647668417,345.574399381,1,8.60926476684
5.0,4.67494995113,-2.94261859705,-1.64153790777,0.1,6.2164878589,349.257911523,1,6.3164878589
3.1,1.0328320344,-3.30019574053,-8.9671679656,2.8,7.2,349.257911523,0,2.39109190093
8.5,8.51666682654,-0.761982950839,0.47738981377,8.0,0.039277012773,351.21863451,1,8.03927701277
5.0,5.89953723033,-1.606167312,0.925651709545,3.1,1.87388552078,356.244748989,1,4.97388552078
4.0,1.0328320344,-0.563104716345,-0.37087749548,0.0,1.40370952988,364.841039459,1,1.40370952988
8.6,8.16053402547,-0.549272885725,-0.200121344664,7.9,0.460655370134,366.480384089,1,8.36065537013
4.0,4.69444444444,-1.00089084518,-0.390252505595,5.0,0.0846969500399,4.91530304996,1,5.08469695004
2.2,4.03888888889,-0.633113922275,-0.235418421051,2.4,1.87430730994,5.72569269006,1,4.27430730994
7.6,6.35555555556,-0.809071653452,-0.309496625877,4.6,2.06505218143,3.33494781857,1,6.66505218143
4.4,4.98557281362,0.00490039345047,0.0701747579523,4.9,0.0153980556664,8.4195497629,1,4.91539805567
3.0,4.21451103099,-2.51424850948,1.40784282541,0.1,2.70666820558,15.6128815573,1,2.80666820558
7.7,6.58644003846,-0.537708992894,-0.195252945782,5.6,1.18169298424,18.8311885731,1,6.78169298424
3.5,4.93322244419,-1.56593132926,-0.628134549393,5.0,0.561356993579,23.2698315795,1,5.56135699358
3.1,3.16426028324,-0.333880414787,-0.109441114399,1.0,2.27370139764,29.9961301819,1,3.27370139764
7.9,6.73209873601,-1.10191819018,0.657895425859,6.1,-0.0257966898461,33.9219268717,1,6.07420331015
4.5,5.40181081803,-1.61534340784,-0.648937034475,3.2,2.85074785251,37.8711790192,1,6.05074785251
2.2,3.24590335458,-0.68711097454,0.437632794355,2.0,0.808270560225,45.062908459,1,2.80827056022
7.5,6.24130874832,-2.57757486668,-1.05403647865,5.6,1.69534522697,47.767563232,1,7.29534522697
4.6,5.88591784575,-2.79466941818,1.55674632793,0.0,4.32917151783,53.4383917142,1,4.32917151783
2.0,2.91942928999,-2.36322199866,1.32764774816,0.1,1.49178154183,61.8466101723,1,1.59178154183
7.2,7.02761996139,-2.82670551706,-1.15892048246,6.8,1.38654044385,63.6600697285,1,8.18654044385
3.7,4.72458508512,-1.35608990596,-5.27541491488,4.5,5.5,63.6600697285,0,3.93172447818
1.5,1.92900406986,-5.61061339112,-8.07099593014,0.0,10.0,63.6600697285,0,-1.1230085077
7.5,7.8921746413,-0.754250473839,-2.1078253587,8.1,1.9,63.6600697285,0,7.41889077282
4.1,4.72458508512,-0.461282344928,-0.316504349144,4.5,0.541089434263,68.6189802942,1,5.04108943426
2.1,1.92900406986,-0.350133046637,-0.257150623857,0.0,2.18615469372,76.4328256005,1,2.18615469372
8.0,7.8921746413,-1.23151979753,-0.727811148835,7.2,1.41998579014,77.8128398104,1,8.61998579014
3.7,4.96069732958,-0.205629859854,-0.0554476307719,4.2,0.816144960353,82.79669485,1,5.01614496035
1.3,2.12083843526,-2.8316144372,-7.87916156474,1.0,9.0,82.79669485,0,0.544474302231
7.9,8.43512175834,-0.77032806993,-0.293185577214,7.5,1.22830733555,84.0683875145,1,8.72830733555
4.1,5.00206126214,-0.772134015625,0.482780029172,3.5,1.01928123296,89.5491062815,1,4.51928123296
0.7,2.12083843526,-0.120066006141,-0.134294824232,0.0,2.25513325949,97.293973022,1,2.25513325949
7.5,8.65383819894,-2.98720616184,-1.34616180106,7.2,2.8,97.293973022,0,6.99485486012
4.0,4.64190736037,-0.151595982055,-5.35809263963,6.4,3.6,97.293973022,0,4.67460672859
1.1,2.22102237414,-0.773335242778,0.483417880789,0.2,1.53760449335,105.556368529,1,1.73760449335
7.5,8.65383819894,-0.653384695224,-0.419087004202,8.2,0.872925203139,106.483443326,1,9.07292520314
4.0,4.64190736037,-2.68554685879,-1.50426159954,5.3,0.846168959918,110.337274366,1,6.14616895992
0.7,1.86039263507,-1.70291955746,0.977027151884,0.3,0.583365483183,119.453908882,1,0.883365483183
7.9,8.96647710407,-2.14214768145,-1.03352289593,8.3,1.7,119.453908882,0,7.75621981835
4.3,5.76408651363,-1.80076729155,1.02898429869,0.1,4.63510221495,124.718806667,1,4.73510221495
0.3,1.13153037976,-0.451876087018,0.312723069081,0.1,0.718807310681,133.899999357,1,0.818807310681
8.2,8.96647710407,-0.580339182608,0.213200255652,7.0,1.75327684842,135.146722508,1,8.75327684842
