beh,opb,clh,rpe,cob,coe,cmr,otb,sib
4.5,5.25,-0.146372223998,0.21505322662,5.03494677338,0.0,4.96505322662,1,5.03494677338
5.0,4.93333333333,-0.580445650696,0.409735158494,4.52359817484,0.0,5.47640182516,1,4.52359817484
6.5,6.81111111111,-2.74135511974,-3.18888888889,4.4,5.6,0,0,7.98786531196
5.0,5.10316165686,-1.34118106091,-0.522872915376,5.62603457224,0.0,4.37396542776,1,5.62603457224
5.4,4.65356616711,-3.19336486719,-1.38784275291,6.04140892002,0.0,8.33255650774,1,6.04140892002
6.6,6.81111111111,-0.744997201398,-0.473138478844,5.1,2.18424958996,11.0483069178,1,7.28424958996
4.8,5.46017928348,-2.11283382278,1.09701125368,4.36316802981,0.0,16.685138888,1,4.36316802981
4.2,5.6011851988,-0.236538312351,-0.00700475179999,5.6081899506,0.0,21.0769489374,1,5.6081899506
5.8,7.13417006447,-0.0910813605559,-2.86582993553,8.1,1.9,21.0769489374,0,6.9439147901
4.6,4.71113999947,-0.395989724123,-0.0814685610974,4.79260856057,0.0,26.2843403768,1,4.79260856057
4.0,5.60596804333,0.212851441965,0.0539414124353,5.55202663089,0.0,30.7323137459,1,5.55202663089
7.2,7.13417006447,-0.216446714507,-0.158228098754,6.7,0.59239816322,33.4399155827,1,7.29239816322
3.6,4.76676673299,-0.658304380567,-0.203969505657,4.97073623865,0.0,38.469179344,1,4.97073623865
5.1,5.56913684692,-0.901670479425,-0.317621473824,5.88675832074,0.0,42.5824210233,1,5.88675832074
5.0,7.2422082103,-0.493560655006,-0.12703418582,7.2,0.169242396115,45.2131786272,1,7.36924239612
3.4,4.90603711145,-0.17814955058,0.229305357592,4.67673175386,0.0,50.5364468733,1,4.67673175386
4.3,5.78600878925,-0.414727731375,-0.0902192104839,5.87622799973,0.0,54.6602188736,1,5.87622799973
7.1,7.32894715237,-3.4155885221,-1.49162119975,7.5,1.32056835212,55.8396505215,1,8.82056835212
3.4,4.74946741329,-0.0321577737238,-5.25053258671,5.58563936762,4.41436063238,55.8396505215,0,4.58563936762
3.9,5.84761046616,-1.83546912944,-0.753705443378,6.60131590954,0.0,59.2383346119,1,6.60131590954
8.1,8.34742610756,-0.458773739394,-1.65257389244,8.6,1.4,59.2383346119,0,8.45821480379
3.5,4.74946741329,-0.561795324765,0.158899776597,4.59056763669,0.0,64.6477669752,1,4.59056763669
3.6,6.3622405429,-1.42390532187,-0.561505145245,6.92374568815,0.0,67.7240212871,1,6.92374568815
8.6,8.34742610756,-0.397912109009,-0.266345180799,7.3,1.31377128836,69.1102499987,1,8.61377128836
3.3,4.64097064583,-1.4511375964,-0.574222617453,5.21519326328,0.0,73.8950567354,1,5.21519326328
4.0,6.74563625608,-0.0506236278477,0.172109981246,6.57352627483,0.0,77.3215304606,1,6.57352627483
7.4,8.52928659701,-2.37952885169,-1.00778133367,8.0,1.53706793068,77.7844625299,1,9.53706793068
3.2,5.03304984903,-0.43405450472,-0.0992448136361,5.13229466266,0.0,82.6521678673,1,5.13229466266
3.8,6.62811956088,-1.76982911162,0.94317364072,5.68494592016,0.0,86.9672219471,1,5.68494592016
7.6,9.21739969164,-0.631474021223,-0.191439727843,5.8,3.60883941949,87.5583825276,1,9.40883941949
3.2,5.10081420778,-1.27013839929,0.719062356236,4.38175185154,0.0,93.1766306761,1,4.38175185154
3.4,5.984120599,-1.80915290952,0.960810364076,5.02331023492,0.0,98.1533204412,1,5.02331023492
7.1,9.34811473781,-0.240079212424,-0.00865835213408,8.5,0.856773089948,98.7965473512,1,9.35677308995
3.1,4.60983843094,-0.0686434400983,-5.39016156906,5.4296465639,4.5703534361,98.7965473512,0,4.4296465639
