opb,clh,rpe,cob,coe,cmr,sve
4.5,-3.80234463044,-3.4,5.6,4.4,76.1,"[  2.60000000e+00   3.00000000e-01   1.50000000e+00   2.60000000e+00
   3.00000000e-01  -2.00000000e-01   2.30000000e+00  -1.00000000e+00
   8.88178420e-16   2.20000000e+00  -7.00000000e-01   3.00000000e-01
   1.60000000e+00  -3.00000000e-01   5.00000000e-01   1.30000000e+00
  -7.00000000e-01   7.00000000e-01   1.10000000e+00  -9.00000000e-01
   3.00000000e-01   1.00000000e+00  -1.10000000e+00   1.00000000e-01
   1.00000000e+00  -1.20000000e+00  -1.00000000e-01   1.00000000e+00]"
5.6,-3.74472975912,-5.5,6.0,4.0,76.1,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9 -1.1  0.3  0.7 -1.3 -0.1  0.6 -1.5 -0.3  0.6 -1.6 -0.5  0.6 -1.5]"
6.5,-3.74054073792,-0.6,9.0,-2.8,79.9,"[-0.8 -3.1 -1.9 -0.8 -3.1 -3.6 -1.1 -4.4 -3.4 -1.2 -4.1 -3.1 -1.8 -3.7 -2.9
 -2.1 -4.1 -2.7 -2.3 -4.3 -3.1 -2.4 -4.5 -3.3 -2.4 -4.6 -3.5 -2.4 -4.5 -3.4]"
4.6,-3.37349018964,-3.5,5.0,5.0,79.9,"[ 3.2  0.9  2.1  3.2  0.9  0.4  2.9 -0.4  0.6  2.8 -0.1  0.9  2.2  0.3  1.1
  1.9 -0.1  1.3  1.7 -0.3  0.9  1.6 -0.5  0.7  1.6 -0.6  0.5  1.6 -0.5  0.6
  1.5]"
5.7,-3.75676659239,-5.4,6.2,3.8,79.9,"[ 2.  -0.3  0.9  2.  -0.3 -0.8  1.7 -1.6 -0.6  1.6 -1.3 -0.3  1.  -0.9 -0.1
  0.7 -1.3  0.1  0.5 -1.5 -0.3  0.4 -1.7 -0.5  0.4 -1.8 -0.7  0.4 -1.7 -0.6
  0.3 -1.6]"
6.5,-3.70682503004,-4.3,8.3,1.7,79.9,"[-0.1 -2.4 -1.2 -0.1 -2.4 -2.9 -0.4 -3.7 -2.7 -0.5 -3.4 -2.4 -1.1 -3.  -2.2
 -1.4 -3.4 -2.  -1.6 -3.6 -2.4 -1.7 -3.8 -2.6 -1.7 -3.9 -2.8 -1.7 -3.8 -2.7
 -1.8 -3.7 -2.6]"
4.7,-5.2595901077,-0.5,7.0,0.0,82.9,"[ 1.2 -1.1  0.1  1.2 -1.1 -1.6  0.9 -2.4 -1.4  0.8 -2.1 -1.1  0.2 -1.7 -0.9
 -0.1 -2.1 -0.7 -0.3 -2.3 -1.1 -0.4 -2.5 -1.3 -0.4 -2.6 -1.5 -0.4 -2.5 -1.4
 -0.5 -2.4 -1.3 -0.5]"
5.9,-3.75361758536,-5.3,6.3,3.7,82.9,"[  1.90000000e+00  -4.00000000e-01   8.00000000e-01   1.90000000e+00
  -4.00000000e-01  -9.00000000e-01   1.60000000e+00  -1.70000000e+00
  -7.00000000e-01   1.50000000e+00  -1.40000000e+00  -4.00000000e-01
   9.00000000e-01  -1.00000000e+00  -2.00000000e-01   6.00000000e-01
  -1.40000000e+00   8.88178420e-16   4.00000000e-01  -1.60000000e+00
  -4.00000000e-01   3.00000000e-01  -1.80000000e+00  -6.00000000e-01
   3.00000000e-01  -1.90000000e+00  -8.00000000e-01   3.00000000e-01
  -1.80000000e+00  -7.00000000e-01   2.00000000e-01  -1.70000000e+00
  -6.00000000e-01   2.00000000e-01  -1.60000000e+00]"
6.4,-4.37737323307,-2.2,7.5,0.6,84.8,"[ 0.7 -1.6 -0.4  0.7 -1.6 -2.1  0.4 -2.9 -1.9  0.3 -2.6 -1.6 -0.3 -2.2 -1.4
 -0.6 -2.6 -1.2 -0.8 -2.8 -1.6 -0.9 -3.  -1.8 -0.9 -3.1 -2.  -0.9 -3.  -1.9
 -1.  -2.9 -1.8 -1.  -2.8 -1.6]"
4.7,-4.01714035223,0.4,6.0,0.0,88.8,"[ 2.2 -0.1  1.1  2.2 -0.1 -0.6  1.9 -1.4 -0.4  1.8 -1.1 -0.1  1.2 -0.7  0.1
  0.9 -1.1  0.3  0.7 -1.3 -0.1  0.6 -1.5 -0.3  0.6 -1.6 -0.5  0.6 -1.5 -0.4
  0.5 -1.4 -0.3  0.5 -1.3 -0.1  0.4]"
