drndg_beh,drndg_opb,drndg_clh,drndg_rpe,drndg_cob,drndg_coe,drndg_cmr,drndg_otb,drndg_sib
4.0,5.177,-0.93690283816630771,0.1278675485652805,5.049132451434719,0.0,4.950867548565281,1,5.049132451434719
4.5,4.817,-2.3907422186586689,-1.7269838488117397,6.54398384881174,0.0,3.45601615118826,1,6.54398384881174
7.5,6.483,-0.92899688924928303,-3.5170000000000003,6.0,4.0,0,0,6.4681543610585255
5.0,5.1198432057913195,-2.1101756377648409,-1.5524372050801354,6.672280410871455,0.0,3.327719589128545,1,6.672280410871455
4.0,5.588961780418848,-1.3209893589190793,0.8944067473000743,4.694555033118774,0.0,8.63316455600977,1,4.694555033118774
5.0,5.81378263646214,-1.71199411941243,-1.2639981574252523,7.077780793887392,0.0,11.555383762122378,1,7.077780793887392
4.1,5.189161964375715,-1.3629907866548407,-0.941092313475357,6.130254277851072,0.0,15.425129484271306,1,6.130254277851072
6.5,6.483,-1.294892699626977,-3.5170000000000003,6.1,3.9000000000000004,15.425129484271306,0,5.6188697868213655
4.5,6.3787898128312275,-1.2169317827746109,-0.7665932185755064,7.145383031406734,0.0,18.279746452864572,1,7.145383031406734
3.8,5.6098302284992,-0.96634664424550354,-0.27644414108255155,5.886274369581751,0.0,22.39347208328282,1,5.886274369581751
6.0,6.483,-1.1983828673384382,0.7414996058617129,2.6,3.141500394138287,26.65197168914453,1,5.741500394138287
5.0,6.7214569815344785,-1.4035371514963495,-3.2785430184655215,8.705518684900708,1.2944813150992918,26.65197168914453,0,7.705518684900708
4.0,5.7334007595631,-1.0880057823816598,-0.5697634041988442,6.303164163761944,0.0,30.348807525382586,1,6.303164163761944
4.0,5.988085001239983,-1.0379164687715035,0.4716334584577462,5.516451542782237,0.0,34.83235598260035,1,5.516451542782237
7.0,6.151549676179814,-0.93421865178653096,-3.8484503238201864,7.6,2.4000000000000004,34.83235598260035,0,6.255827348401981
5.5,6.7214569815344785,-1.0953172032878471,-3.2785430184655215,8.304163681081565,1.6958363189184347,34.83235598260035,0,7.304163681081565
4.0,5.777264845309371,-1.0718592362057209,0.5400816172173473,5.237183228092023,0.0,39.595172754508326,1,5.237183228092023
7.0,6.151549676179814,-1.8313536937402193,-3.8484503238201864,6.0,4.0,39.595172754508326,0,4.794638203194936
6.0,6.7214569815344785,-3.2382908939199315,2.1706317101997374,4.550825271334741,0.0,45.04434748317358,1,4.550825271334741
7.1,6.151549676179814,-1.0351523947501811,-3.8484503238201864,7.3,2.7,45.04434748317358,0,6.617166316044105
3.9,5.535848362413216,-1.8402269836956069,1.3635659249500813,4.172282437463135,0.0,50.87206504571044,1,4.172282437463135
7.0,6.151549676179814,-1.8201668558586015,-3.8484503238201864,8.299999999999999,1.700000000000001,50.87206504571044,0,7.500024873902008
6.0,5.751184607075196,-0.93635507307894761,0.12342025621777886,5.627764350857417,0.0,55.244300694853024,1,5.627764350857417
3.9,4.92633439396053,-2.0157397974085201,-1.489091425743247,6.415425819703777,0.0,58.828874875149246,1,6.415425819703777
6.5,5.696015752545849,-1.2987516009656856,-0.8686736762670924,6.564689428812941,0.0,62.264185446336306,1,6.564689428812941
4.0,5.591958261267761,-4.4806641169012336,-4.408041738732239,3.900057098362427,6.099942901637573,62.264185446336306,0,2.900057098362427
8.0,6.151549676179814,-1.5619013551708441,-3.8484503238201864,8.299999999999999,1.700000000000001,62.264185446336306,0,7.287979209573217
6.5,6.084312885837239,-1.2728558676655595,-0.8377120512207448,6.922024937057984,0.0,65.34216050927833,1,6.922024937057984
4.0,5.591958261267761,-0.98046553251483048,-0.3243866812709033,5.9163449425386645,0.0,69.42581556673966,1,5.9163449425386645
8.0,6.151549676179814,-0.97300141646276783,-3.8484503238201864,9.0,1.0,69.42581556673966,0,6.451547058529281
6.5,6.458770172732912,-1.0066860804955629,-0.39839914781063523,6.857169320543547,0.0,72.56864624619611,1,6.857169320543547
4.0,5.736959107795855,-0.94624285797491703,-0.18816380733185412,5.925122915127709,0.0,76.6435233310684,1,5.925122915127709
9.0,6.151549676179814,-1.2994447600316739,-3.8484503238201864,7.699999999999999,2.3000000000000007,76.6435233310684,0,7.021036961288581
4.0,5.821068329673193,-1.5680323724241845,1.141919693222345,4.679148636450848,0.0,81.96437469461755,1,4.679148636450848
8.5,6.151549676179814,-1.1719467275755868,-3.8484503238201864,8.2,1.8000000000000007,81.96437469461755,0,5.447357477168134
6.5,6.636854591804266,-1.6768738848255034,-1.235329526632544,7.8721841184368095,0.0,84.09219057618074,1,7.8721841184368095
8.5,6.151549676179814,-1.3731528322676692,-0.9520437741730641,4.6,2.503593450352878,86.98859712582787,1,7.103593450352878
4.0,7.1890468902090126,-1.0458449496578095,-0.48848112127395105,7.677528011482964,0.0,89.3110691143449,1,7.677528011482964
4.0,5.310630226802805,-1.0438671222292544,-0.48433319349526105,5.794963420298066,0.0,93.51610569404684,1,5.794963420298066
8.5,6.577113243235173,-0.96364997548322373,-3.422886756764827,6.199999999999999,3.8000000000000007,93.51610569404684,0,6.310805865323734
